Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Alison Riske (14165332),Marin Cilic (14165330),Dusan Lajovic (14165327),50000,0.0798257,0
Gregoire Barrere (14165348),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.06343,0
Benoit Paire (14165349),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.0594656,0
Tommy Paul (14165350),Marton Fucsovics (14165340),Cori Gauff (14165336),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0556692,0
Greet Minnen (14165351),Marton Fucsovics (14165340),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.0588354,0
Marc Polmans (14165352),Marton Fucsovics (14165340),Ons Jabeur (14165338),Elena Rybakina (14165329),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.046521,0
Fiona Ferro (14165353),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Diego Schwartzman (14165321),Madison Keys (14165318),50000,0.052142,0
Nao Hibino (14165354),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.049432,0
Cristian Garin (14165355),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0596091,0
Tennys Sandgren (14165356),Marton Fucsovics (14165340),Cori Gauff (14165336),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0513115,0
Barbora Krejcikova (14165357),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0513696,0
Alejandro Davidovich Fokina (14165358),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0447464,0
Philipp Kohlschreiber (14165359),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),49900,0.0357971,0
Michael Mmoh (14165360),Marton Fucsovics (14165340),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0345079,0
Polona Hercog (14165361),Marton Fucsovics (14165340),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),49900,0.0320431,0
Arantxa Rus (14165362),Marton Fucsovics (14165340),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roger Federer (14165316),Serena Williams (14165315),49900,0.0221039,0
Filip Krajinovic (14165363),Marton Fucsovics (14165340),Elena Rybakina (14165329),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0147988,0
Tamara Zidansek (14165364),Marton Fucsovics (14165340),Elena Rybakina (14165329),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.012258,0
Tatsuma Ito (14165365),Marton Fucsovics (14165340),Ons Jabeur (14165338),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.012578,0
Caroline Garcia (14165342),John Millman (14165341),Jannik Sinner (14165339),Elena Rybakina (14165329),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0701618,0
Yoshihito Nishioka (14165343),John Millman (14165341),Ons Jabeur (14165338),Elena Rybakina (14165329),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0811163,0
Jordan Thompson (14165344),John Millman (14165341),Ons Jabeur (14165338),Grigor Dimitrov (14165328),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0699267,0
Sorana Cirstea (14165345),John Millman (14165341),Jannik Sinner (14165339),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.0692387,0
Caroline Wozniacki (14165346),John Millman (14165341),Ons Jabeur (14165338),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0737382,0
Lin Zhu (14165347),John Millman (14165341),Ons Jabeur (14165338),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.069176,0
Gregoire Barrere (14165348),John Millman (14165341),Ons Jabeur (14165338),Cori Gauff (14165336),Madison Keys (14165318),Serena Williams (14165315),50000,0.0663176,0
Benoit Paire (14165349),John Millman (14165341),Cori Gauff (14165336),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0627148,0
Tommy Paul (14165350),John Millman (14165341),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.0596386,0
Greet Minnen (14165351),John Millman (14165341),Jannik Sinner (14165339),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0606367,0
Marc Polmans (14165352),John Millman (14165341),Ons Jabeur (14165338),Grigor Dimitrov (14165328),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0489175,0
Fiona Ferro (14165353),John Millman (14165341),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0570118,0
Nao Hibino (14165354),John Millman (14165341),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0518289,0
Cristian Garin (14165355),John Millman (14165341),Cori Gauff (14165336),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.064234,0
Tennys Sandgren (14165356),John Millman (14165341),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0549199,0
Barbora Krejcikova (14165357),John Millman (14165341),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0539576,0
Alejandro Davidovich Fokina (14165358),John Millman (14165341),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0481314,0
Philipp Kohlschreiber (14165359),John Millman (14165341),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),49900,0.0385051,0
Michael Mmoh (14165360),John Millman (14165341),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0362465,0
Polona Hercog (14165361),John Millman (14165341),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),49900,0.0336574,0
Arantxa Rus (14165362),John Millman (14165341),Dusan Lajovic (14165327),Qiang Wang (14165326),Maria Sakkari (14165325),Roger Federer (14165316),50000,0.0229656,0
Filip Krajinovic (14165363),John Millman (14165341),Ons Jabeur (14165338),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.0156406,0
Tamara Zidansek (14165364),John Millman (14165341),Grigor Dimitrov (14165328),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),49900,0.0126622,0
Tatsuma Ito (14165365),John Millman (14165341),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),Roger Federer (14165316),50000,0.0135923,0
Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Jannik Sinner (14165339),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.0747852,0
Jordan Thompson (14165344),Caroline Garcia (14165342),Cori Gauff (14165336),Marin Cilic (14165330),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0649789,0
Sorana Cirstea (14165345),Caroline Garcia (14165342),Jannik Sinner (14165339),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49800,0.0629442,0
Caroline Wozniacki (14165346),Caroline Garcia (14165342),Cori Gauff (14165336),Grigor Dimitrov (14165328),Dusan Lajovic (14165327),Madison Keys (14165318),50000,0.0691724,0
Lin Zhu (14165347),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0643917,0
Gregoire Barrere (14165348),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.063253,0
Benoit Paire (14165349),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.0592997,0
Tommy Paul (14165350),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Matteo Berrettini (14165323),Madison Keys (14165318),50000,0.054515,0
Greet Minnen (14165351),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Roger Federer (14165316),50000,0.0566961,0
Marc Polmans (14165352),Caroline Garcia (14165342),Cori Gauff (14165336),Elena Rybakina (14165329),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0463913,0
Fiona Ferro (14165353),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Diego Schwartzman (14165321),Madison Keys (14165318),50000,0.0519966,0
Nao Hibino (14165354),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0492941,0
Cristian Garin (14165355),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0594428,0
Tennys Sandgren (14165356),Caroline Garcia (14165342),Elena Rybakina (14165329),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.0496199,0
Barbora Krejcikova (14165357),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0512263,0
Alejandro Davidovich Fokina (14165358),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0446216,0
Philipp Kohlschreiber (14165359),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),49900,0.0356973,0
Michael Mmoh (14165360),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),49800,0.0329513,0
Michael Mmoh (14165360),Caroline Garcia (14165342),Cori Gauff (14165336),Maria Sakkari (14165325),Madison Keys (14165318),Serena Williams (14165315),50000,0.0329513,0
Michael Mmoh (14165360),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Novak Djokovic (14165314),50000,0.0329513,0
Polona Hercog (14165361),Caroline Garcia (14165342),Elena Rybakina (14165329),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0311147,0
Arantxa Rus (14165362),Caroline Garcia (14165342),Cori Gauff (14165336),Dusan Lajovic (14165327),Roger Federer (14165316),Serena Williams (14165315),49900,0.0220423,0
Filip Krajinovic (14165363),Caroline Garcia (14165342),Dusan Lajovic (14165327),Maria Sakkari (14165325),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0149179,0
Tamara Zidansek (14165364),Caroline Garcia (14165342),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),Roger Federer (14165316),50000,0.0123567,0
Tatsuma Ito (14165365),Caroline Garcia (14165342),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0126304,0
Jordan Thompson (14165344),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.0743201,0
Sorana Cirstea (14165345),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49800,0.0727718,0
Caroline Wozniacki (14165346),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Qiang Wang (14165326),Madison Keys (14165318),50000,0.0777523,0
Lin Zhu (14165347),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),49900,0.0729418,0
Gregoire Barrere (14165348),Yoshihito Nishioka (14165343),Jannik Sinner (14165339),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0689306,0
Benoit Paire (14165349),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0673895,0
Tommy Paul (14165350),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0627193,0
Greet Minnen (14165351),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Diego Schwartzman (14165321),Madison Keys (14165318),50000,0.063937,0
Marc Polmans (14165352),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Elena Rybakina (14165329),Madison Keys (14165318),Roger Federer (14165316),50000,0.0525032,0
Fiona Ferro (14165353),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0601154,0
Nao Hibino (14165354),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0557885,0
Cristian Garin (14165355),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0673956,0
Tennys Sandgren (14165356),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0579096,0
Barbora Krejcikova (14165357),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0568949,0
Alejandro Davidovich Fokina (14165358),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0487106,0
Philipp Kohlschreiber (14165359),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),49700,0.0388782,0
Philipp Kohlschreiber (14165359),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Maria Sakkari (14165325),Madison Keys (14165318),Serena Williams (14165315),49900,0.0388782,0
Philipp Kohlschreiber (14165359),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Novak Djokovic (14165314),49900,0.0388782,0
Michael Mmoh (14165360),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Dusan Lajovic (14165327),Roger Federer (14165316),Serena Williams (14165315),50000,0.036933,0
Polona Hercog (14165361),Yoshihito Nishioka (14165343),Ons Jabeur (14165338),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Serena Williams (14165315),50000,0.0347719,0
Arantxa Rus (14165362),Yoshihito Nishioka (14165343),Elena Rybakina (14165329),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Roger Federer (14165316),50000,0.0244121,0
Filip Krajinovic (14165363),Yoshihito Nishioka (14165343),Cori Gauff (14165336),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.0164921,0
Tamara Zidansek (14165364),Yoshihito Nishioka (14165343),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0137559,0
Tatsuma Ito (14165365),Yoshihito Nishioka (14165343),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49800,0.0137559,0
Tatsuma Ito (14165365),Yoshihito Nishioka (14165343),Maria Sakkari (14165325),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0137559,0
Sorana Cirstea (14165345),Jordan Thompson (14165344),Ons Jabeur (14165338),Dusan Lajovic (14165327),Matteo Berrettini (14165323),Madison Keys (14165318),50000,0.0628967,0
Caroline Wozniacki (14165346),Jordan Thompson (14165344),Cori Gauff (14165336),Dusan Lajovic (14165327),Maria Sakkari (14165325),Madison Keys (14165318),50000,0.069514,0
Lin Zhu (14165347),Jordan Thompson (14165344),Jannik Sinner (14165339),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0627363,0
Gregoire Barrere (14165348),Jordan Thompson (14165344),Ons Jabeur (14165338),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0617881,0
Benoit Paire (14165349),Jordan Thompson (14165344),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0589661,0
Tommy Paul (14165350),Jordan Thompson (14165344),Cori Gauff (14165336),Dusan Lajovic (14165327),Diego Schwartzman (14165321),Madison Keys (14165318),50000,0.0540863,0
Greet Minnen (14165351),Jordan Thompson (14165344),Cori Gauff (14165336),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0573125,0
Marc Polmans (14165352),Jordan Thompson (14165344),Ons Jabeur (14165338),Grigor Dimitrov (14165328),Madison Keys (14165318),Roger Federer (14165316),50000,0.0452607,0
Fiona Ferro (14165353),Jordan Thompson (14165344),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0527498,0
Nao Hibino (14165354),Jordan Thompson (14165344),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),49900,0.0479544,0
Cristian Garin (14165355),Jordan Thompson (14165344),Ons Jabeur (14165338),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),49900,0.0579316,0
Tennys Sandgren (14165356),Jordan Thompson (14165344),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),49900,0.0497776,0
Barbora Krejcikova (14165357),Jordan Thompson (14165344),Cori Gauff (14165336),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),49900,0.0489054,0
Alejandro Davidovich Fokina (14165358),Jordan Thompson (14165344),Ons Jabeur (14165338),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Roger Federer (14165316),50000,0.0427424,0
Philipp Kohlschreiber (14165359),Jordan Thompson (14165344),Ons Jabeur (14165338),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Roger Federer (14165316),50000,0.0348077,0
Michael Mmoh (14165360),Jordan Thompson (14165344),Ons Jabeur (14165338),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Serena Williams (14165315),50000,0.0321882,0
Polona Hercog (14165361),Jordan Thompson (14165344),Ons Jabeur (14165338),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.0304255,0
Arantxa Rus (14165362),Jordan Thompson (14165344),Elena Rybakina (14165329),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Roger Federer (14165316),50000,0.0213607,0
Filip Krajinovic (14165363),Jordan Thompson (14165344),Elena Rybakina (14165329),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0143823,0
Tamara Zidansek (14165364),Jordan Thompson (14165344),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0118242,0
Tatsuma Ito (14165365),Jordan Thompson (14165344),Elena Rybakina (14165329),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Roger Federer (14165316),50000,0.0119407,0
Caroline Wozniacki (14165346),Sorana Cirstea (14165345),Jannik Sinner (14165339),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0669055,0
Lin Zhu (14165347),Sorana Cirstea (14165345),Ons Jabeur (14165338),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Madison Keys (14165318),50000,0.0640597,0
Gregoire Barrere (14165348),Sorana Cirstea (14165345),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0615868,0
Benoit Paire (14165349),Sorana Cirstea (14165345),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0577376,0
Tommy Paul (14165350),Sorana Cirstea (14165345),Jannik Sinner (14165339),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0540629,0
Greet Minnen (14165351),Sorana Cirstea (14165345),Ons Jabeur (14165338),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Roger Federer (14165316),50000,0.0552026,0
