"entry_id","contest_id","contest_name","C","C","W","W","W","W","D","D","G","","Instructions"
"1863636897","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1863637848","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"1863637853","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"1863637857","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","4) You can not use this form to create new entries"
"1863637858","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193",""
"1863637862","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"1863637900","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-8732:Semyon Varlamov","40144-8732","G","Semyon","Semyon Varlamov","Varlamov","22.74285670689174","7","8300","OTT@NYI","NYI","OTT","","","","",""
"1863637902","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-23072:Frederik Andersen","40144-23072","G","Frederik","Frederik Andersen","Andersen","18.181818181818183","11","8300","LA@TOR","TOR","LA","","","","",""
"1863637907","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-15268:John Gibson","40144-15268","G","John","John Gibson","Gibson","20.46666717529297","12","8200","MIN@ANH","ANH","MIN","","","","",""
"1863637934","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-12628:Mark Stone","40144-12628","W","Mark","Mark Stone","Stone","17.326666259765624","15","8100","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-8633:Thomas Greiss","40144-8633","G","Thomas","Thomas Greiss","Greiss","22.857142857142858","7","8100","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-8212:Ryan Miller","40144-8212","G","Ryan","Ryan Miller","Miller","19.360000610351562","5","8000","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-12697:Philipp Grubauer","40144-12697","G","Philipp","Philipp Grubauer","Grubauer","20.480000305175782","10","8000","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-15400:Petr Mrazek","40144-15400","G","Petr","Petr Mrazek","Mrazek","21.422222561306423","9","8000","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-66737:Mikko Rantanen","40144-66737","W","Mikko","Mikko Rantanen","Rantanen","18.266665988498264","9","8000","COL@DAL","COL","DAL","IR","Lower body","","",""
"","","","","","","","","","","","","","40144-8175:Patrice Bergeron","40144-8175","C","Patrice","Patrice Bergeron","Bergeron","17.185714721679688","14","8000","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-12283:Jacob Markstrom","40144-12283","G","Jacob","Jacob Markstrom","Markstrom","19.02222188313802","9","8000","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-70251:Thatcher Demko","40144-70251","G","Thatcher","Thatcher Demko","Demko","24.160000610351563","5","7900","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-8262:Patrick Kane","40144-8262","W","Patrick","Patrick Kane","Kane","13.776923546424278","13","7800","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-43131:Malcolm Subban","40144-43131","G","Malcolm","Malcolm Subban","Subban","6.800000190734863","2","7800","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-8394:Anze Kopitar","40144-8394","C","Anze","Anze Kopitar","Kopitar","14.114286150251116","14","7800","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-66683:Mitchell Marner","40144-66683","W","Mitchell","Mitchell Marner","Marner","16.259999593098957","15","7800","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-58909:Connor Hellebuyck","40144-58909","G","Connor","Connor Hellebuyck","Hellebuyck","22.327273282137785","11","7800","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-12417:Tyler Seguin","40144-12417","C","Tyler","Tyler Seguin","Seguin","11.012499809265137","16","7700","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-8864:Robin Lehner","40144-8864","G","Robin","Robin Lehner","Lehner","21.100000381469727","8","7700","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-40050:Antti Raanta","40144-40050","G","Antti","Antti Raanta","Raanta","19.399999618530273","4","7700","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-70900:Patrik Laine","40144-70900","W","Patrik","Patrik Laine","Laine","15.846153846153847","13","7700","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-12410:Taylor Hall","40144-12410","W","Taylor","Taylor Hall","Hall","14.608333587646484","12","7600","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-83213:Pavel Francouz","40144-83213","G","Pavel","Pavel Francouz","Francouz","20","4","7600","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-14468:Anders Nilsson","40144-14468","G","Anders","Anders Nilsson","Nilsson","19.599999745686848","6","7500","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-73938:Carter Hart","40144-73938","G","Carter","Carter Hart","Hart","8.699999809265137","8","7500","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-23071:Vladimir Tarasenko","40144-23071","W","Vladimir","Vladimir Tarasenko","Tarasenko","14.63000030517578","10","7500","STL@VAN","STL","VAN","IR","Shoulder","","",""
"","","","","","","","","","","","","","40144-8893:Anton Khudobin","40144-8893","G","Anton","Anton Khudobin","Khudobin","16.933333079020183","6","7500","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-54065:Joonas Korpisalo","40144-54065","G","Joonas","Joonas Korpisalo","Korpisalo","13.01818154074929","11","7500","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-15321:Mark Scheifele","40144-15321","C","Mark","Mark Scheifele","Scheifele","13.413333129882812","15","7500","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-58904:Aaron Dell","40144-58904","G","Aaron","Aaron Dell","Dell","9.59999974568685","6","7500","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-8273:Corey Crawford","40144-8273","G","Corey","Corey Crawford","Crawford","11.59999974568685","6","7400","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-8494:John Tavares","40144-8494","C","John","John Tavares","Tavares","11.425000190734863","8","7400","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-8553:Brian Elliott","40144-8553","G","Brian","Brian Elliott","Elliott","12.800000190734863","8","7400","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-84409:Elias Pettersson","40144-84409","C","Elias","Elias Pettersson","Pettersson","17.57857186453683","14","7400","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-9112:Jake Allen","40144-9112","G","Jake","Jake Allen","Allen","10.666666666666666","3","7400","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-9252:Alex Stalock","40144-9252","G","Alex","Alex Stalock","Stalock","14.17142813546317","7","7400","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-11301:Cam Talbot","40144-11301","G","Cam","Cam Talbot","Talbot","9.919999694824218","5","7400","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-14183:Keith Kinkaid","40144-14183","G","Keith","Keith Kinkaid","Kinkaid","11.733333587646484","3","7400","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-79857:Brock Boeser","40144-79857","W","Brock","Brock Boeser","Boeser","16.42142813546317","14","7400","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-12619:Jack Campbell","40144-12619","G","Jack","Jack Campbell","Campbell","12.133333841959635","6","7300","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-8556:Claude Giroux","40144-8556","C","Claude","Claude Giroux","Giroux","12.930769700270433","13","7300","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-8920:Devan Dubnyk","40144-8920","G","Devan","Devan Dubnyk","Dubnyk","9.155555725097656","9","7300","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-9092:Evander Kane","40144-9092","W","Evander","Evander Kane","Kane","18.4250005086263","12","7300","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-15306:Brendan Gallagher","40144-15306","W","Brendan","Brendan Gallagher","Gallagher","15.82857186453683","14","7300","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-9278:Martin Jones","40144-9278","G","Martin","Martin Jones","Jones","9.527273004705256","11","7300","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-66744:MacKenzie Blackwood","40144-66744","G","MacKenzie","MacKenzie Blackwood","Blackwood","10.800000190734863","8","7300","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-14056:Cam Atkinson","40144-14056","W","Cam","Cam Atkinson","Atkinson","12.164285932268415","14","7300","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-73946:Sebastian Aho","40144-73946","C","Sebastian","Sebastian Aho","Aho","12.957142421177455","14","7200","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-8412:Jonathan Quick","40144-8412","G","Jonathan","Jonathan Quick","Quick","6.800000190734863","8","7200","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-9052:James Reimer","40144-9052","G","James","James Reimer","Reimer","14.133333841959635","6","7200","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-11294:Michael Hutchinson","40144-11294","G","Michael","Michael Hutchinson","Hutchinson","7.680000305175781","5","7200","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-66599:Zane McIntyre","40144-66599","G","Zane","Zane McIntyre","McIntyre","0","0","7200","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-42782:Oscar Dansk","40144-42782","G","Oscar","Oscar Dansk","Dansk","0.800000011920929","1","7200","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-8292:Craig Anderson","40144-8292","G","Craig","Craig Anderson","Anderson","12.100000381469727","8","7100","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-8441:Max Pacioretty","40144-8441","W","Max","Max Pacioretty","Pacioretty","15.326666259765625","15","7100","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-41389:Sean Monahan","40144-41389","C","Sean","Sean Monahan","Monahan","11.111764346852022","17","7100","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-103103:Elvis Merzlikins","40144-103103","G","Elvis","Elvis Merzlikins","Merzlikins","7","4","7100","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-15271:Laurent Brossoit","40144-15271","G","Laurent","Laurent Brossoit","Brossoit","8","5","7100","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-54514:Johnny Gaudreau","40144-54514","W","Johnny","Johnny Gaudreau","Gaudreau","11.741176829618567","17","7100","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-82001:Collin Delia","40144-82001","G","Collin","Collin Delia","Delia","16.75","16","7000","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-14483:Louis Domingue","40144-14483","G","Louis","Louis Domingue","Domingue","20.830768291766827","26","7000","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-8426:Brent Burns","40144-8426","D","Brent","Brent Burns","Burns","14.786666870117188","15","7000","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-14697:Gabriel Landeskog","40144-14697","W","Gabriel","Gabriel Landeskog","Landeskog","10.9272724498402","11","7000","COL@DAL","COL","DAL","IR","Lower body","","",""
"","","","","","","","","","","","","","40144-8781:Cory Schneider","40144-8781","G","Cory","Cory Schneider","Schneider","1.9200000762939453","5","7000","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-15258:Garret Sparks","40144-15258","G","Garret","Garret Sparks","Sparks","1.600000023841858","1","7000","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-68647:Charlie Lindgren","40144-68647","G","Charlie","Charlie Lindgren","Lindgren","27.200000762939453","1","7000","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-66612:Adin Hill","40144-66612","G","Adin","Adin Hill","Hill","15.076923076923077","13","7000","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-9302:Michal Neuvirth","40144-9302","G","Michal","Michal Neuvirth","Neuvirth","4.914285932268415","7","7000","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-38243:Anthony Stolarz","40144-38243","G","Anthony","Anthony Stolarz","Stolarz","12.133332994249132","18","7000","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-59226:Alex Nedeljkovic","40144-59226","G","Alex","Alex Nedeljkovic","Nedeljkovic","23.200000762939453","1","7000","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-8182:Blake Wheeler","40144-8182","W","Blake","Blake Wheeler","Wheeler","12","15","7000","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-8682:Phil Kessel","40144-8682","W","Phil","Phil Kessel","Kessel","10.82857186453683","14","6900","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-8303:Jakub Voracek","40144-8303","W","Jakub","Jakub Voracek","Voracek","12.00769277719351","13","6800","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-15308:Sean Couturier","40144-15308","C","Sean","Sean Couturier","Couturier","11.584615854116587","13","6800","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-70904:Matthew Tkachuk","40144-70904","W","Matthew","Matthew Tkachuk","Tkachuk","13.941176470588236","17","6800","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-39238:Anders Lee","40144-39238","W","Anders","Anders Lee","Lee","11.015384380634014","13","6700","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-9124:Ryan O'Reilly","40144-9124","C","Ryan","Ryan O'Reilly","O'Reilly","13.426666259765625","15","6700","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-21546:Alexander Radulov","40144-21546","W","Alexander","Alexander Radulov","Radulov","11.512499809265137","16","6700","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-70125:Kyle Connor","40144-70125","W","Kyle","Kyle Connor","Connor","13.806667073567708","15","6600","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-8986:Jamie Benn","40144-8986","W","Jamie","Jamie Benn","Benn","8.3125","16","6600","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-15356:Dougie Hamilton","40144-15356","D","Dougie","Dougie Hamilton","Hamilton","18.071428571428573","14","6600","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-66685:Mathew Barzal","40144-66685","C","Mathew","Mathew Barzal","Barzal","13.946154080904448","13","6600","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-8134:Ryan Getzlaf","40144-8134","C","Ryan","Ryan Getzlaf","Getzlaf","13.112500190734863","16","6600","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-41390:Elias Lindholm","40144-41390","C","Elias","Elias Lindholm","Lindholm","14.641176111557904","17","6500","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-37881:Morgan Rielly","40144-37881","D","Morgan","Morgan Rielly","Rielly","14.586666870117188","15","6500","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-9266:Brayden Schenn","40144-9266","C","Brayden","Brayden Schenn","Schenn","14.066666666666666","15","6500","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-8254:Jonathan Toews","40144-8254","C","Jonathan","Jonathan Toews","Toews","8","13","6400","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-8551:Erik Karlsson","40144-8551","D","Erik","Erik Karlsson","Karlsson","11.285714285714286","14","6400","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-9269:Logan Couture","40144-9269","C","Logan","Logan Couture","Couture","10.593332926432291","15","6400","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-37968:Jonathan Marchessault","40144-37968","W","Jonathan","Jonathan Marchessault","Marchessault","11.493332926432291","15","6400","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-85470:Andrei Svechnikov","40144-85470","W","Andrei","Andrei Svechnikov","Svechnikov","15.642857142857142","14","6400","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-43178:Teuvo Teravainen","40144-43178","W","Teuvo","Teuvo Teravainen","Teravainen","13.07857186453683","14","6300","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-12644:Kyle Palmieri","40144-12644","W","Kyle","Kyle Palmieri","Palmieri","13.766666412353516","12","6300","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-66508:Travis Konecny","40144-66508","W","Travis","Travis Konecny","Konecny","15","13","6300","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-39990:William Karlsson","40144-39990","C","William","William Karlsson","Karlsson","13.833333333333334","15","6300","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-40036:Tomas Hertl","40144-40036","C","Tomas","Tomas Hertl","Hertl","12.353333536783854","15","6300","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-42478:Bo Horvat","40144-42478","C","Bo","Bo Horvat","Horvat","15.450000217982701","14","6300","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-8234:Eric Staal","40144-8234","C","Eric","Eric Staal","Staal","10.392857142857142","14","6200","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-15360:J.T. Miller","40144-15360","W","J.T.","J.T. Miller","Miller","15.492856706891741","14","6200","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-9321:Tomas Tatar","40144-9321","W","Tomas","Tomas Tatar","Tatar","12.599999564034599","14","6200","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-14473:Jakob Silfverberg","40144-14473","W","Jakob","Jakob Silfverberg","Silfverberg","12.399999618530273","16","6100","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-8640:David Perron","40144-8640","W","David","David Perron","Perron","14.013333129882813","15","6100","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-8651:Alex Pietrangelo","40144-8651","D","Alex","Alex Pietrangelo","Pietrangelo","13.413333129882812","15","6100","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-41592:Max Domi","40144-41592","C","Max","Max Domi","Domi","11.914285932268415","14","6100","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-8402:Dustin Brown","40144-8402","W","Dustin","Dustin Brown","Brown","10.571428571428571","14","6000","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-41394:Seth Jones","40144-41394","D","Seth","Seth Jones","Jones","11.521428789411273","14","6000","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-73885:Alex DeBrincat","40144-73885","W","Alex","Alex DeBrincat","DeBrincat","11.684614915114183","13","5900","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-8406:Drew Doughty","40144-8406","D","Drew","Drew Doughty","Doughty","14.085714067731585","14","5900","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-8615:Joe Pavelski","40144-8615","W","Joe","Joe Pavelski","Pavelski","8.043749809265137","16","5900","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-80286:Roope Hintz","40144-80286","C","Roope","Roope Hintz","Hintz","11.768750190734863","16","5800","COL@DAL","DAL","COL","O","Lower body","","",""
"","","","","","","","","","","","","","40144-58907:Nikolaj Ehlers","40144-58907","W","Nikolaj","Nikolaj Ehlers","Ehlers","15.693332926432292","15","5800","NJ@WPG","WPG","NJ","","","","",""
