name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,
Skal Labissiere,4200,SAC,PF,LAC,20.895,49.75,6.965,16.5833,13.93,33.1667,
Terry Rozier,5000,BOS,PG,PHI,25.128,50.256,9.772,19.544,17.45,34.9,
Kosta Koufos,4400,SAC,C,LAC,21.6448,49.1927,6.8352,15.5345,14.24,32.3636,
Jerryd Bayless,3500,PHI,PG,BOS,16.9482,48.4234,7.0918,20.2623,12.02,34.3429,
Norman Powell,3800,TOR,SG,CLE,27.9382,73.5216,6.3418,16.6889,17.14,45.1053,
Montrezl Harrell,4200,LAC,PF,SAC,23.04,54.8571,5.76,13.7143,14.4,34.2857,
Jakob Poeltl,3500,TOR,C,CLE,18.1116,51.7474,5.1084,14.5954,11.61,33.1714,
Sam Dekker,3600,LAC,SF,SAC,19.7955,54.9875,5.1045,14.1792,12.45,34.5833,
Davis Bertans,4500,SAS,PF,LAL,35.676,79.28,3.964,8.80889,19.82,44.0444,
Richaun Holmes,4800,PHI,C,BOS,24.4224,50.88,6.2976,13.12,15.36,32,
Jawun Evans,5100,LAC,PG,SAC,26.285,51.5392,3.755,7.36275,15.02,29.451,
Josh Hart,3500,LAL,SG,SAS,18.9716,54.2046,3.0884,8.824,11.03,31.5143,
Lucas Nogueira,3500,TOR,C,CLE,25.128,71.7943,2.792,7.97714,13.96,39.8857,
Aron Baynes,3700,BOS,C,PHI,16.502,44.6,5.798,15.6703,11.15,30.1351,
Vince Carter,4200,SAC,SF,LAC,23.166,55.1571,2.574,6.12857,12.87,30.6429,
Trevor Booker,3500,PHI,PF,BOS,15.779,45.0829,4.581,13.0886,10.18,29.0857,
Malachi Richardson,3500,SAC,SG,LAC,9.9766,28.5046,2.0434,5.83829,6.01,17.1714,
Daniel Theis,3500,BOS,PF,PHI,16.0487,45.8534,3.1713,9.06086,9.61,27.4571,
Brandon Paul,3500,SAS,SG,LAL,17.748,50.7086,1.972,5.63429,9.86,28.1714,
Derrick White,3500,SAS,PG,LAL,11.7705,33.63,1.5295,4.37,6.65,19,
Tyler Ennis,3700,LAL,PG,SAS,12.546,33.9081,1.394,3.76757,6.97,18.8378,
Lorenzo Brown,3500,TOR,PG,CLE,5.0706,14.4874,1.1894,3.39829,3.13,8.94286,
Sindarius Thornwell,3500,LAC,PG,SAC,8.1375,23.25,1.1625,3.32143,4.65,13.2857,
Semi Ojeleye,3500,BOS,SF,PHI,6.7064,19.1611,1.3736,3.92457,4.04,11.5429,
Cedi Osman,3500,CLE,SF,TOR,7.0224,20.064,0.9576,2.736,3.99,11.4,
Shane Larkin,3500,BOS,PG,PHI,6.534,18.6686,0.726,2.07429,3.63,10.3714,
Corey Brewer,3500,LAL,SF,SAS,7.362,21.0343,0.818,2.33714,4.09,11.6857,
Timothe Luwawu-Cabarrot,3500,PHI,SG,BOS,4.5288,12.9394,1.3912,3.97486,2.96,8.45714,
