Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,,D,Michal Kempny (13798559),Michal Kempny,13798559,D/UTIL,4600,WAS@NYR 11/20/2019 08:00PM ET,WAS,8.72
,,,,,,,,,,,,,,LW,Jonathan Drouin (13798465),Jonathan Drouin,13798465,W/UTIL,4500,OTT@MON 11/20/2019 07:30PM ET,MON,9.22
,,,,,,,,,,,,,,D,Tony DeAngelo (13798561),Tony DeAngelo,13798561,D/UTIL,4500,WAS@NYR 11/20/2019 08:00PM ET,NYR,9.68
,,,,,,,,,,,,,,D,Jeff Petry (13798563),Jeff Petry,13798563,D/UTIL,4400,OTT@MON 11/20/2019 07:30PM ET,MON,9.03
,,,,,,,,,,,,,,LW,Chris Kreider (13798467),Chris Kreider,13798467,W/UTIL,4400,WAS@NYR 11/20/2019 08:00PM ET,NYR,7.84
,,,,,,,,,,,,,,C,Lars Eller (13798395),Lars Eller,13798395,C/UTIL,4300,WAS@NYR 11/20/2019 08:00PM ET,WAS,7.79
,,,,,,,,,,,,,,RW,Pavel Buchnevich (13798469),Pavel Buchnevich,13798469,W/UTIL,4200,WAS@NYR 11/20/2019 08:00PM ET,NYR,7.31
,,,,,,,,,,,,,,D,Adam Fox (13798565),Adam Fox,13798565,D/UTIL,4200,WAS@NYR 11/20/2019 08:00PM ET,NYR,6.89
,,,,,,,,,,,,,,C,Filip Chytil (13798397),Filip Chytil,13798397,C/UTIL,4100,WAS@NYR 11/20/2019 08:00PM ET,NYR,10.54
,,,,,,,,,,,,,,D,Nikita Zaitsev (13798567),Nikita Zaitsev,13798567,D/UTIL,4000,OTT@MON 11/20/2019 07:30PM ET,OTT,7.96
,,,,,,,,,,,,,,RW,Kaapo Kakko (13798471),Kaapo Kakko,13798471,W/UTIL,4000,WAS@NYR 11/20/2019 08:00PM ET,NYR,7.09
,,,,,,,,,,,,,,C,Nick Suzuki (13798399),Nick Suzuki,13798399,C/UTIL,3900,OTT@MON 11/20/2019 07:30PM ET,MON,5.62
,,,,,,,,,,,,,,D,Dmitry Orlov (13798569),Dmitry Orlov,13798569,D/UTIL,3900,WAS@NYR 11/20/2019 08:00PM ET,WAS,6.01
,,,,,,,,,,,,,,LW,Vladislav Namestnikov (13798473),Vladislav Namestnikov,13798473,W/UTIL,3800,OTT@MON 11/20/2019 07:30PM ET,OTT,8.04
,,,,,,,,,,,,,,C,Colin White (13798401),Colin White,13798401,C/UTIL,3700,OTT@MON 11/20/2019 07:30PM ET,OTT,4.21
,,,,,,,,,,,,,,D,Ben Chiarot (13798571),Ben Chiarot,13798571,D/UTIL,3700,OTT@MON 11/20/2019 07:30PM ET,MON,7.43
,,,,,,,,,,,,,,RW,Connor Brown (13798475),Connor Brown,13798475,W/UTIL,3600,OTT@MON 11/20/2019 07:30PM ET,OTT,8.09
,,,,,,,,,,,,,,D,Brady Skjei (13798573),Brady Skjei,13798573,D/UTIL,3600,WAS@NYR 11/20/2019 08:00PM ET,NYR,7.34
,,,,,,,,,,,,,,C,Logan Brown (13798403),Logan Brown,13798403,C/UTIL,3500,OTT@MON 11/20/2019 07:30PM ET,OTT,4.94
,,,,,,,,,,,,,,RW,Tyler Ennis (13798477),Tyler Ennis,13798477,W/UTIL,3500,OTT@MON 11/20/2019 07:30PM ET,OTT,7
,,,,,,,,,,,,,,D,Radko Gudas (13798575),Radko Gudas,13798575,D/UTIL,3500,WAS@NYR 11/20/2019 08:00PM ET,WAS,6.11
,,,,,,,,,,,,,,LW,Nick Paul (13798479),Nick Paul,13798479,W/UTIL,3400,OTT@MON 11/20/2019 07:30PM ET,OTT,6.82
,,,,,,,,,,,,,,C,Jesperi Kotkaniemi (13798405),Jesperi Kotkaniemi,13798405,C/UTIL,3300,OTT@MON 11/20/2019 07:30PM ET,MON,4.09
,,,,,,,,,,,,,,D,Victor Mete (13798577),Victor Mete,13798577,D/UTIL,3300,OTT@MON 11/20/2019 07:30PM ET,MON,6.63
,,,,,,,,,,,,,,LW,Brendan Lemieux (13798481),Brendan Lemieux,13798481,W/UTIL,3300,WAS@NYR 11/20/2019 08:00PM ET,NYR,6.45
,,,,,,,,,,,,,,C,Artem Anisimov (13798407),Artem Anisimov,13798407,C/UTIL,3200,OTT@MON 11/20/2019 07:30PM ET,OTT,6.57
,,,,,,,,,,,,,,D,Mark Borowiecki (13798579),Mark Borowiecki,13798579,D/UTIL,3200,OTT@MON 11/20/2019 07:30PM ET,OTT,7.4
,,,,,,,,,,,,,,LW,Richard Panik (13798483),Richard Panik,13798483,W/UTIL,3200,WAS@NYR 11/20/2019 08:00PM ET,WAS,3.25
,,,,,,,,,,,,,,LW,Nick Cousins (13798485),Nick Cousins,13798485,W/UTIL,3100,OTT@MON 11/20/2019 07:30PM ET,MON,5.95
,,,,,,,,,,,,,,D,Jonas Siegenthaler (13798581),Jonas Siegenthaler,13798581,D/UTIL,3100,WAS@NYR 11/20/2019 08:00PM ET,WAS,5.37
,,,,,,,,,,,,,,LW,Artturi Lehkonen (13798489),Artturi Lehkonen,13798489,W/UTIL,3000,OTT@MON 11/20/2019 07:30PM ET,MON,6.27
,,,,,,,,,,,,,,C,Brett Howden (13798409),Brett Howden,13798409,C/UTIL,3000,WAS@NYR 11/20/2019 08:00PM ET,NYR,5.87
,,,,,,,,,,,,,,RW,Jesper Fast (13798487),Jesper Fast,13798487,W/UTIL,3000,WAS@NYR 11/20/2019 08:00PM ET,NYR,5.52
,,,,,,,,,,,,,,D,Libor Hajek (13798583),Libor Hajek,13798583,D/UTIL,3000,WAS@NYR 11/20/2019 08:00PM ET,NYR,5.68
,,,,,,,,,,,,,,LW,Paul Byron (13798493),Paul Byron,13798493,W/UTIL,2900,OTT@MON 11/20/2019 07:30PM ET,MON,2.94
,,,,,,,,,,,,,,D,Dylan DeMelo (13798585),Dylan DeMelo,13798585,D/UTIL,2900,OTT@MON 11/20/2019 07:30PM ET,OTT,4.45
,,,,,,,,,,,,,,RW,Garnet Hathaway (13798491),Garnet Hathaway,13798491,W/UTIL,2900,WAS@NYR 11/20/2019 08:00PM ET,WAS,4.2
,,,,,,,,,,,,,,C,Chris Tierney (13798411),Chris Tierney,13798411,C/UTIL,2800,OTT@MON 11/20/2019 07:30PM ET,OTT,5.34
,,,,,,,,,,,,,,D,Cale Fleury (13798587),Cale Fleury,13798587,D/UTIL,2800,OTT@MON 11/20/2019 07:30PM ET,MON,4.86
,,,,,,,,,,,,,,RW,Travis Boyd (13798495),Travis Boyd,13798495,W/UTIL,2800,WAS@NYR 11/20/2019 08:00PM ET,WAS,4.91
,,,,,,,,,,,,,,LW,Carl Hagelin (13798497),Carl Hagelin,13798497,W/UTIL,2800,WAS@NYR 11/20/2019 08:00PM ET,WAS,4.45
,,,,,,,,,,,,,,C,Nate Thompson (13798413),Nate Thompson,13798413,C/UTIL,2700,OTT@MON 11/20/2019 07:30PM ET,MON,5.5
,,,,,,,,,,,,,,RW,Bobby Ryan (13798501),Bobby Ryan,13798501,W/UTIL,2700,OTT@MON 11/20/2019 07:30PM ET,OTT,3.68
,,,,,,,,,,,,,,LW,Brendan Leipsic (13798499),Brendan Leipsic,13798499,W/UTIL,2700,WAS@NYR 11/20/2019 08:00PM ET,WAS,3.96
,,,,,,,,,,,,,,D,Nick Jensen (13798589),Nick Jensen,13798589,D/UTIL,2700,WAS@NYR 11/20/2019 08:00PM ET,WAS,3.67
,,,,,,,,,,,,,,RW,Jordan Weal (13798503),Jordan Weal,13798503,W/UTIL,2600,OTT@MON 11/20/2019 07:30PM ET,MON,5.95
,,,,,,,,,,,,,,LW,Filip Chlapik (13798505),Filip Chlapik,13798505,W/UTIL,2600,OTT@MON 11/20/2019 07:30PM ET,OTT,4.78
,,,,,,,,,,,,,,D,Brett Kulak (13798591),Brett Kulak,13798591,D/UTIL,2600,OTT@MON 11/20/2019 07:30PM ET,MON,5.02
,,,,,,,,,,,,,,C,Chandler Stephenson (13798415),Chandler Stephenson,13798415,C/UTIL,2600,WAS@NYR 11/20/2019 08:00PM ET,WAS,3.37
,,,,,,,,,,,,,,C,Michael McCarron (13798421),Michael McCarron,13798421,C/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,C,Matthew Peca (13798423),Matthew Peca,13798423,C/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,C,Ryan Poehling (13798425),Ryan Poehling,13798425,C/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,2.48
,,,,,,,,,,,,,,C,Josh Norris (13798433),Josh Norris,13798433,C/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,RW,Max Veronneau (13798507),Max Veronneau,13798507,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,1.5
,,,,,,,,,,,,,,RW,Charles Hudon (13798509),Charles Hudon,13798509,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,2.15
,,,,,,,,,,,,,,LW,Mikkel Boedker (13798515),Mikkel Boedker,13798515,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,2.46
,,,,,,,,,,,,,,RW,Scott Sabourin (13798517),Scott Sabourin,13798517,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,3.04
,,,,,,,,,,,,,,RW,Ryan Callahan (13798519),Ryan Callahan,13798519,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,LW,Marian Gaborik (13798521),Marian Gaborik,13798521,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,RW,Jordan Szwarz (13798529),Jordan Szwarz,13798529,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,1.43
,,,,,,,,,,,,,,RW,Dale Weise (13798531),Dale Weise,13798531,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,RW,Vitaly Abramov (13798533),Vitaly Abramov,13798533,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,6.5
,,,,,,,,,,,,,,LW,Phil Varone (13798535),Phil Varone,13798535,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,RW,Jonathan Davidsson (13798537),Jonathan Davidsson,13798537,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,5.4
,,,,,,,,,,,,,,LW,Joel Teasdale (13798539),Joel Teasdale,13798539,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,LW,Rudolfs Balcers (13798545),Rudolfs Balcers,13798545,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,RW,Drake Batherson (13798547),Drake Batherson,13798547,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,1.3
,,,,,,,,,,,,,,LW,Alex Formenton (13798549),Alex Formenton,13798549,W/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,D,Ron Hainsey (13798593),Ron Hainsey,13798593,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,4.84
,,,,,,,,,,,,,,D,Cody Goloubef (13798597),Cody Goloubef,13798597,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0.65
,,,,,,,,,,,,,,D,Mike Reilly (13798599),Mike Reilly,13798599,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,4.24
,,,,,,,,,,,,,,D,Christian Wolanin (13798603),Christian Wolanin,13798603,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,D,Erik Brannstrom (13798607),Erik Brannstrom,13798607,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,3.03
,,,,,,,,,,,,,,D,Christian Folin (13798609),Christian Folin,13798609,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,4.54
,,,,,,,,,,,,,,D,Karl Alzner (13798611),Karl Alzner,13798611,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,D,Gustav Olofsson (13798613),Gustav Olofsson,13798613,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,D,Xavier Ouellet (13798615),Xavier Ouellet,13798615,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,D,Christian Jaros (13798619),Christian Jaros,13798619,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,D,Maxime Lajoie (13798621),Maxime Lajoie,13798621,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,D,Noah Juulsen (13798623),Noah Juulsen,13798623,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,MON,0
,,,,,,,,,,,,,,D,Andreas Englund (13798627),Andreas Englund,13798627,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,D,Lassi Thomson (13798639),Lassi Thomson,13798639,D/UTIL,2500,OTT@MON 11/20/2019 07:30PM ET,OTT,0
,,,,,,,,,,,,,,C,Tim Gettinger (13798417),Tim Gettinger,13798417,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,C,Nic Dowd (13798419),Nic Dowd,13798419,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,3.59
,,,,,,,,,,,,,,C,Boo Nieves (13798427),Boo Nieves,13798427,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,C,Michael Sgarbossa (13798429),Michael Sgarbossa,13798429,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,C,Connor McMichael (13798431),Connor McMichael,13798431,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,C,Shane Gersich (13798435),Shane Gersich,13798435,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,C,Liam O'Brien (13798437),Liam O'Brien,13798437,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,C,Lias Andersson (13798439),Lias Andersson,13798439,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,2.05
,,,,,,,,,,,,,,C,Steven Fogarty (13798441),Steven Fogarty,13798441,C/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,LW,Greg McKegg (13798511),Greg McKegg,13798511,W/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,2.97
,,,,,,,,,,,,,,RW,Brendan Smith (13798513),Brendan Smith,13798513,W/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,3.75
,,,,,,,,,,,,,,RW,Vitali Kravtsov (13798523),Vitali Kravtsov,13798523,W/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,LW,Micheal Haley (13798525),Micheal Haley,13798525,W/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,2.72
,,,,,,,,,,,,,,LW,Matt Beleskey (13798527),Matt Beleskey,13798527,W/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,RW,Kody Clark (13798541),Kody Clark,13798541,W/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,RW,Vinni Lettieri (13798543),Vinni Lettieri,13798543,W/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,D,Ryan Lindgren (13798595),Ryan Lindgren,13798595,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,5.46
,,,,,,,,,,,,,,D,Marc Staal (13798601),Marc Staal,13798601,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,6.5
,,,,,,,,,,,,,,D,Yegor Rykov (13798605),Yegor Rykov,13798605,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,D,Christian Djoos (13798617),Christian Djoos,13798617,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,D,Alexander Alexeyev (13798625),Alexander Alexeyev,13798625,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,D,Tyler Lewington (13798629),Tyler Lewington,13798629,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,2.02
,,,,,,,,,,,,,,D,Tarmo Reunanen (13798631),Tarmo Reunanen,13798631,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,D,Darren Raddysh (13798633),Darren Raddysh,13798633,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,NYR,0
,,,,,,,,,,,,,,D,Connor Hobbs (13798635),Connor Hobbs,13798635,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
,,,,,,,,,,,,,,D,Colby Williams (13798637),Colby Williams,13798637,D/UTIL,2500,WAS@NYR 11/20/2019 08:00PM ET,WAS,0
