100000 100000
78729 8637 166460
51359 62562 33943
4017 72092 155300
7911 74961 12853
19662 47721 146090
37277 98502 50420
9887 32059 2319
63609 64807 116736
37555 30551 163449
67814 98149 173587
53923 14774 40054
36447 72688 12763
80850 84035 68220
12228 93716 143939
6347 79174 50806
89401 81021 88500
82390 19222 88818
96467 16044 14957
71595 99602 126728
18853 21676 25472
75150 92260 181144
91915 38780 92922
62674 75312 90729
54098 85082 56204
82185 87165 48641
20822 76555 113636
43560 9319 26378
14750 74738 10587
64761 22959 26760
52128 56080 171185
2828 49000 36501
84865 60702 118720
93045 29574 151487
39488 12687 19441
98874 57577 77419
93467 4974 150085
76510 54595 129093
33936 75446 5608
58981 17214 175230
75563 92595 153674
68252 60656 155183
64232 88297 84936
6666 85075 138138
83576 21779 121010
2123 38762 55542
5904 17132 90065
99890 37665 80203
37195 91988 136293
80754 41270 161872
44649 62888 79613
44199 63583 189058
42757 537 16221
42747 18804 5374
47939 20539 189026
64042 18697 178191
44205 53286 26947
89339 74462 57287
96512 89975 152169
73595 73820 167799
77602 41569 154125
85090 11003 105678
20309 33346 159940
86954 61944 180834
15668 83105 96338
14004 92071 19664
41605 16448 107997
5455 59229 46348
94052 36963 167548
23160 81476 81606
35930 62689 155133
6024 99901 107930
82048 34541 185578
25573 49517 122636
9751 8084 159963
8198 60965 122451
88036 95795 41515
21693 73265 130214
67037 38506 36259
42613 31027 149814
62465 43678 184502
55304 30903 181037
26079 19782 178929
19710 47947 54299
9755 46656 68592
87129 6168 92288
86177 4039 55098
24678 28571 5245
48292 65923 108819
76882 46985 19238
54961 83700 129017
45070 44416 191530
69974 73833 73096
67005 97598 155999
31754 50097 179719
47288 83552 24515
51104 12424 17990
23586 22142 53959
48766 58154 90263
27955 46816 68029
6857 74224 106059
1006 76199 163793
46202 48934 46827
25276 99280 190833
85987 61087 169901
79154 25890 94856
23420 58525 75339
84613 16563 57734
4617 2371 35557
61891 49135 191796
12387 6374 111086
43043 45193 62019
25802 46080 45780
10990 47909 15995
5943 65614 149657
30440 388 134339
5449 74514 146355
75823 76322 164707
56627 43901 15348
77540 97584 78430
11207 75303 131936
59811 38234 7437
91585 61019 124806
9122 472 102282
92411 64423 36105
81470 86846 119230
98955 21672 140099
39716 85979 51178
55812 96713 10999
30571 59155 169293
24002 88381 15825
58900 65488 112161
60586 23685 1822
18534 66591 46886
99605 10159 171185
2663 56000 180654
41802 74228 88477
56408 20809 53076
66908 16528 105327
6096 2178 104679
61733 47686 64263
28214 39911 108101
37041 9451 174605
56100 71933 87361
84479 2781 115303
932 20724 18761
64660 38471 67523
58209 40055 179795
52222 62433 136934
63691 65268 22019
82995 11944 192734
28127 59444 142219
85597 27571 60129
57156 87795 190838
14135 60775 162499
41670 99878 132286
10347 56906 6517
63838 71356 33449
92575 90135 15423
19183 18276 23933
81407 58450 157797
32855 22676 36209
5587 20922 38522
9549 37333 64525
6348 77296 160720
38618 36761 198727
22737 40426 198000
32263 43453 83847
77346 5727 23424
7304 91374 173981
32369 21875 4712
81060 64398 107160
8501 52936 16207
4321 84296 42697
34590 83405 162718
82632 67110 156610
50056 10637 82535
1129 29743 108405
55544 88979 50330
79419 33463 180532
38507 68239 88272
26315 71531 2387
419 86046 14794
23435 93218 54309
47952 88470 172023
8297 3854 78600
46358 87706 46838
51943 56136 20228
87318 73511 2504
65990 50334 136222
85495 51581 120794
29596 49405 50445
24086 46376 63077
41381 59139 181021
63385 41522 138841
72237 3146 35937
27790 70268 52619
22269 76973 140159
56034 4659 172516
43986 28983 76443
72447 44724 144474
61895 94003 26868
68851 52546 97495
8367 35621 182280
74715 48073 38315
35111 29723 143174
52927 73765 97101
8514 47747 17615
42027 38820 87697
28727 365 125705
6872 85106 100199
53159 75051 177263
94046 95145 35737
36545 81662 70903
74919 69962 114946
44387 39828 159908
86484 55873 174438
35822 19470 151752
77702 64765 132720
13315 18052 197692
5771 94831 140646
70798 44240 32913
72988 4499 113103
43279 88856 73338
18066 38447 29161
68009 96976 132917
79281 75133 196265
594 19354 134657
88243 24488 173233
17960 57317 48102
72413 94841 180718
74686 65951 185214
46381 71332 186392
72253 78092 96856
40033 74200 195601
26817 33873 84981
14753 13799 137792
58808 12384 196960
25010 35600 114591
93633 66916 79686
38997 60923 74608
20400 17085 181610
43795 47174 71808
88196 74568 147830
4432 57387 69100
61945 89650 50997
31838 11552 136918
24043 37983 118881
359 31564 154939
62758 36697 55411
48495 93955 71611
95479 94381 169299
11033 97525 136040
54938 3347 104714
15761 33561 179443
24460 40348 121552
69293 36190 77002
91480 50773 126259
82834 16377 165079
42358 80376 39448
76685 95532 151654
637 84260 82085
10638 1048 164283
85988 59862 184909
88507 73715 192361
9006 57324 28126
91459 53840 190375
4203 75433 197347
91470 50786 191284
20353 47400 46096
34931 30198 166672
45242 41880 162400
21461 95457 28291
97555 65942 178970
11639 65405 186195
24209 74563 108631
49960 96244 24173
90933 13961 5289
59161 14614 58363
20000 83391 113175
64337 47308 40744
16284 20397 187344
53398 24976 72203
62256 52365 81325
44362 9957 6988
51812 91346 8133
66058 3395 32866
83062 54426 32275
43592 38188 169786
63457 39885 50839
3790 83373 26479
10183 76440 118625
58508 58143 169843
13558 11991 133436
85274 1019 116080
50191 78839 192355
17903 81173 47187
65193 38152 18508
85222 84942 61783
52631 14433 113856
49624 72247 72775
82259 18657 194540
89004 34963 132540
88623 64398 87615
84763 78689 139662
27710 98365 191950
73278 32475 66322
58315 68851 84199
25765 53647 195003
21438 8125 118270
25893 10835 154239
1560 47851 119092
4525 87871 69008
12555 13574 108824
89228 62231 37951
33976 4479 19150
27382 27849 4889
90224 5281 27129
17166 25158 94099
35952 97167 25286
79851 1572 60529
41974 90730 143830
59834 37059 27023
20207 47384 46151
32681 40311 182370
32451 43916 119785
1751 66596 15964
34749 18275 57673
90800 11235 160616
1696 39586 118704
96657 2060 141482
47256 92209 178718
8668 33270 59965
36121 29972 31205
66595 28691 171451
14485 31638 53254
95516 27137 196788
51135 37332 15810
86119 55390 89412
63265 81912 124587
10716 28465 169855
36418 75540 175366
38962 5722 87297
81573 88531 129045
85413 96731 184187
29943 88215 152051
56694 7880 132606
80522 46780 112193
13391 23620 49165
83778 49210 172844
10828 93588 153102
33629 58974 146876
42420 82450 20571
19560 8988 158100
41882 13867 160092
66349 19047 4230
96066 6132 20794
75314 91917 15704
27590 7787 197750
64776 4020 166043
78408 53528 179087
39302 64536 84327
78670 27481 11869
44720 22560 121062
24234 34924 182708
44002 44481 153759
98032 10271 60580
60599 16558 39134
82775 74004 132780
44579 42608 57793
63020 24353 13198
77129 55666 176540
13273 57801 150424
29280 92384 124453
91301 9428 89202
70846 96622 120696
39428 90363 191183
71998 11940 96394
86854 51703 150454
79690 29911 89864
57346 15218 24484
17417 63905 148928
4987 13135 172017
52156 25199 143265
75236 75420 63727
31476 98989 53764
40300 87979 18967
96997 45650 89118
94091 69113 188948
13241 11349 161910
74413 12111 161189
54371 47203 124544
30435 31632 79819
18511 97925 21201
41319 28979 124147
92249 14480 156326
9523 3703 179046
79641 14741 33137
97544 23841 55898
78135 19716 57091
38036 99482 99388
87432 46712 72231
10535 88789 144812
24329 74261 173055
89603 81501 126031
74139 1076 83760
52031 70540 28347
30375 26429 143709
73672 48076 49986
76523 49478 194653
92596 16895 16863
59551 40956 94011
85136 56873 17424
7060 34276 117175
49867 10403 190615
84574 81352 121595
31098 54193 50265
7342 21049 17524
25431 25619 10830
3526 23127 163238
82052 1000 189818
99654 86759 124979
67546 1559 143579
37226 65750 38738
49682 1562 183223
14185 29484 114873
76942 66409 126645
72423 4574 100437
18835 91444 32575
12958 84832 191171
53301 73812 71411
63570 4324 47172
49488 76410 42552
8089 93001 74727
97189 12267 16980
88476 21976 104726
2235 4541 128257
2620 51947 52463
48851 68149 52110
80468 16242 6929
77559 27381 182126
46837 54483 139003
33691 62273 42689
86862 97234 137649
92919 88664 155245
27724 64088 25731
59277 17575 115670
57834 32622 89433
76872 80746 126003
9622 27478 78138
81716 53263 52741
45460 23825 152995
74490 36707 7735
35556 13989 179726
50020 14370 58609
98952 82926 449
1635 61047 190233
21520 88456 94687
40184 15731 89714
25501 12741 187357
42827 28137 54726
3274 44247 86991
33803 70216 110085
10671 90671 6017
88735 15860 188586
5754 63051 104561
23401 94360 137458
52174 47770 61858
46891 76946 195731
13798 46854 142338
23536 37596 13195
66892 53657 108585
57318 58863 101065
35682 16030 10474
15997 49802 39184
31321 39625 1948
86169 85725 86159
47596 12359 106703
69949 6251 163710
65904 80845 122763
92253 64906 127602
96971 49735 114501
83505 60560 162351
84541 9 81267
5280 38474 11626
75403 948 183954
25945 84430 18048
41294 35901 119088
73548 3829 25547
56956 99459 161158
39523 90139 48644
14615 82357 180842
48997 96479 14519
54624 55731 50672
32398 22203 13317
96779 63666 8319
46613 74018 104746
83304 1922 15735
12054 10739 59764
95447 22416 17682
25183 64160 146572
34643 12452 124955
82917 37043 95324
40127 3842 80470
98597 60156 84603
38643 23483 183338
48983 66777 36741
81207 37672 75098
96402 12880 7290
5524 78639 120079
62211 56812 69666
20439 52703 23800
57714 35433 152354
57245 52465 145787
40438 408 121794
28956 3824 16674
2504 99694 190123
53796 53911 24473
53773 97441 3868
10167 10414 153155
38526 86999 44529
26350 5529 37541
60013 20224 196995
15307 89149 91186
23328 98752 42037
73739 16429 186840
72399 22954 69438
1979 42032 177472
45227 33844 54765
12462 2965 7795
56914 23016 98629
76003 26172 93721
9435 71782 131783
23140 90197 63917
39501 25565 109858
72561 51055 40589
71394 68267 122813
3914 8914 119717
88491 79365 184140
78190 52092 891
56586 33424 63802
55843 49202 190398
47255 79 185019
24675 51501 129527
75564 68763 94002
41322 28619 127703
3770 99328 16306
9422 41513 10459
41525 42739 142203
84819 56318 91803
47707 62041 173629
64146 86675 170682
80061 98283 173326
21297 29006 105330
10308 89415 196574
47345 66010 89025
58228 12993 23890
35187 1385 126379
93921 44359 35494
47900 3621 124662
23433 82586 58656
28611 77738 115336
98922 17173 146869
75973 56511 192423
89338 99983 33452
34437 53140 153468
57009 68576 166510
25821 88816 15225
17062 16371 113367
76555 60784 45386
71151 14808 44851
69557 99372 13007
67499 52527 90729
34172 80357 51120
50394 44521 16960
67877 93713 110891
6957 6585 139445
25163 44741 7861
28703 17407 60820
99166 97049 178528
18166 47483 146493
48170 25377 16937
13433 75604 190031
76893 72560 97474
73219 11264 101118
85022 86218 150938
81361 64943 182744
30151 6871 84638
9847 63773 71049
64075 85113 32889
6062 20658 41711
82111 80381 123776
22582 39106 43455
57614 98563 149034
3419 73809 57080
36043 41364 123401
97041 60519 193644
95213 49525 9710
6721 43439 90158
75374 12636 132540
36077 62212 168530
99260 14075 109744
7173 80629 148187
39037 25299 177085
75821 34388 33835
22895 83991 76917
96022 60194 40823
90276 91259 175897
15905 98012 49745
26100 25501 61517
29275 86694 33489
97548 65097 175856
3009 44165 13862
5509 66338 118864
15122 4826 51948
4980 40607 179666
45126 8512 4254
8449 24752 100706
59373 60582 113162
53667 86798 19638
10414 73270 149101
16016 25948 35509
18099 75807 106737
24747 47393 53635
58021 92862 109596
1591 1442 165930
40018 56696 180396
95346 52688 190727
96111 4000 188125
19052 56062 5010
18497 13929 169948
6832 16355 64650
9077 50358 88181
44853 45542 167588
2250 82022 88406
66152 56226 86664
6452 12806 98897
39267 84387 31780
13753 94380 41911
7877 82188 49109
16778 43289 92023
35629 79088 4056
46100 73709 35114
26608 99862 191868
14731 7176 76227
76372 51091 44220
70971 99704 182427
3474 52569 98612
95109 97566 178146
18492 84525 113568
61840 72811 155819
48034 7347 130034
67726 72543 167924
7656 55930 150514
8088 38388 129000
33869 97271 22981
87258 10234 167151
27032 59006 95678
31911 54209 154513
6188 86777 80169
44029 18954 178217
44703 23851 185585
88254 81064 194197
4654 6121 89330
68404 42828 46597
80516 77371 30666
39500 66646 156203
93963 6669 117242
37646 43312 83204
201 1019 64373
17368 80527 62549
75519 3225 19554
55938 2175 74427
35663 79898 188348
949 74292 157908
2285 13904 186785
93011 33430 116620
72354 61846 35545
17539 73083 37118
3780 60212 103899
80483 3675 38279
70451 73179 187271
11923 94464 64805
50860 91024 191072
52786 22523 185921
7472 96265 81447
8794 1084 251
56394 25060 57650
75229 60386 137291
79968 43720 15351
46307 99261 11179
51715 20808 29437
19553 41783 105200
31918 71510 174512
46282 70078 158425
60145 5858 135885
84706 66849 183713
19250 67413 29779
81808 31121 192769
72634 9783 68509
4622 80004 37317
4666 11239 85739
11545 93805 191593
73933 33750 21453
53563 63495 78709
20962 49920 68236
240 26027 58186
83908 14550 195723
17507 21787 126374
15952 91229 199017
54224 22612 74868
49107 83644 109070
24922 52400 74605
7162 93562 117103
65694 98577 77779
83829 69667 29180
7356 62735 42403
21467 86027 17427
49095 80346 99307
24345 63574 121682
91644 89364 147880
45371 38285 14570
89022 20481 175566
46797 28907 152270
98891 45819 13739
10607 79583 48122
76181 86879 164726
19033 69246 84841
79198 4724 164116
40157 63693 3206
91165 99051 173067
78712 20139 54828
2378 18017 13163
75152 60972 37762
51205 61690 161829
35995 99241 59521
59845 93708 199021
6697 45163 175237
66239 86073 105820
41253 90834 103504
71893 56712 93330
19068 87772 150818
47289 17876 14753
85186 87251 122281
884 5868 96105
27662 34158 123826
7541 31749 23470
65710 92188 189076
54712 32758 191982
14050 45977 158280
68095 11058 145241
46951 11705 94732
96256 78675 155705
74992 19493 28199
92848 5620 29059
22740 20102 64692
16900 32419 174569
73390 88523 134834
39204 20113 36027
17436 25184 1100
39677 86469 117542
19504 94182 94676
64001 70794 23443
46250 63021 140291
31218 48496 178979
4370 19610 163966
42570 53386 94251
88871 37661 186038
94346 95721 172088
38493 63820 29421
78793 10296 17862
47026 34569 173238
20152 74896 31503
40766 49852 108834
41744 219 118153
88436 42570 7894
92333 8820 43083
12387 30063 29194
77792 47046 195684
62131 69212 152642
51010 33459 18312
10058 4221 355
25295 11784 135718
61525 30254 93597
20525 10959 169974
48014 69882 147234
57961 67354 133323
88773 22426 150908
4242 3841 11566
97513 29312 89069
57449 18611 93593
81256 43849 158811
35596 60463 56850
73508 28540 25513
19224 12644 71526
29133 64884 163020
27079 69626 184394
84591 27275 173951
59108 72681 107587
42832 11473 45238
16724 98165 26381
74294 90934 133637
33762 81045 104492
14619 66658 40491
51360 18693 138993
74692 94072 197153
45450 6350 11567
62903 42636 137954
20653 87897 140772
47718 90572 132548
73565 38846 55564
506 28789 61459
84854 88231 103035
93628 77377 41402
74465 90258 144309
87264 47382 54267
38651 50425 32085
11317 64740 87131
97812 4915 136723
31033 67414 92271
26279 39409 179991
44130 23023 101234
91483 76109 93256
38244 60455 153408
88341 85466 161001
86038 42076 129453
30632 88884 113109
41020 86782 74336
7564 90996 150177
31305 34285 104738
77272 35317 3715
51049 54822 114280
89735 71409 69546
57627 30479 48235
4448 7246 148858
84892 71163 168628
93701 23110 120208
97699 69207 34011
83951 86352 87022
42503 51586 172746
49929 15141 105970
53148 19486 150801
79984 18746 126495
43136 9084 190183
13482 9292 149787
72990 69699 10095
13958 88327 94130
72371 41992 197627
50490 20690 118757
74081 32636 113635
37498 63311 129069
68458 33133 79321
76483 19902 183263
81507 97365 196361
12730 66356 31133
65505 34304 61374
10520 64697 119069
24934 90569 98373
16076 96455 180232
37069 99998 1118
97548 85387 45977
9568 25626 112346
829 81734 69237
10268 43148 174999
49519 20211 11444
270 76289 115872
75706 94690 61378
85402 65782 57592
47667 11042 85980
62896 13591 8459
17111 41898 53508
25365 55161 11279
62181 96287 77362
8096 56637 180996
88366 62456 126235
24471 58182 157237
55088 93396 2392
42049 69507 150845
19440 26693 38397
99383 99762 42803
58458 69559 22052
10219 94604 68673
47463 97802 164212
30875 19567 75407
16712 62308 110340
82962 41299 28426
21169 4240 106578
33781 34899 142046
4809 4035 17093
89870 79190 64985
70739 38157 25766
77659 40109 61126
71571 59539 59121
64803 94194 176032
74899 10222 182462
548 4231 191851
99812 13674 166533
17304 97021 181185
77586 24476 64833
42844 80436 62125
44760 49246 184012
9272 7021 2340
91240 8881 92710
50837 76111 171043
73158 40456 119684
24799 77202 19973
14017 95114 143939
91812 78542 162139
84580 77051 105442
24037 54585 174314
48753 67498 64806
38076 13241 98556
93389 24868 134283
19262 67533 4521
3751 54599 52862
90661 94460 55890
82038 23615 49203
45473 10723 87783
33813 4244 25351
89133 26026 181043
64204 7466 22974
47807 54994 172271
81117 29538 6671
49084 29503 189780
91730 53653 184874
82122 38325 80363
25616 14888 188492
52327 3096 74943
70421 62867 129018
88688 84620 17652
34701 33761 114987
9444 40125 67028
36294 66026 127989
77642 70608 118257
84872 13309 63186
75081 23525 147922
59072 17240 126868
5283 56407 189978
38412 78027 177411
53331 24085 151266
698 83766 141350
31433 67789 70878
75210 92189 69650
36990 61925 37370
84741 20252 27016
9061 30089 144705
42254 73568 71267
58337 73710 136721
42893 49650 73649
66796 34148 94522
84681 80049 90981
90987 17368 168280
75847 4380 14942
87503 32512 196369
86294 62743 155049
42162 58874 187369
45623 16028 95489
55510 80423 178860
50081 11815 196717
17 28703 111120
3418 3519 118651
20542 33370 58465
82015 90790 11463
65556 27810 37532
63814 76616 119347
73608 59979 110137
81303 62325 117159
60750 73250 47944
11610 38743 115071
59564 87420 184339
71302 74526 36789
71648 17771 68143
26389 56927 130115
39466 23834 15300
98324 31540 28820
40166 71490 136308
96206 31681 108657
18025 85517 165773
28096 76816 111462
29129 76074 79678
32650 63754 95068
30313 32422 99174
16974 62505 192269
9544 35174 13926
22881 88929 133587
97918 55678 2625
159 46310 32390
25895 31571 181423
70574 895 45808
64453 35052 184772
22326 87576 40799
72510 9892 15715
5597 13062 91134
10082 37963 113363
16005 14148 134570
83621 67774 162783
18724 17156 198687
35138 5415 172627
52644 18242 11602
42973 26310 195292
53370 27988 90906
30701 61165 95355
21958 80165 107589
31494 18041 140477
5030 23082 172447
766 74639 77773
14495 5882 11442
48549 66328 122938
69796 78909 180680
90848 29210 123028
41916 69527 78422
17415 43547 97642
76382 24408 39758
60257 75396 178960
20120 87158 102265
18764 77419 152440
55515 36642 65954
18696 9153 24539
81588 69443 36301
81812 25393 73093
96139 18383 81009
52084 57830 141425
87833 66573 135086
6839 75629 86262
6032 7850 85066
12363 13594 125329
30110 25280 118900
62195 81424 180987
65945 51788 25446
14658 10939 171957
82409 44182 174432
41502 14238 95630
91918 68865 132928
12301 75219 117694
73953 82404 88815
40291 51741 140238
1738 73750 71910
44858 41509 102783
76654 82613 18199
35711 81261 151370
76694 65926 116185
59680 28562 189968
63152 60378 67886
35085 28087 91680
27029 32762 105365
49683 24159 101838
97654 14640 72205
5485 2295 54923
55455 93270 136569
8119 18925 95407
72207 84566 58733
93694 4966 165794
98806 34030 18380
56687 18154 135062
56526 28225 25168
70338 55891 172239
13973 84437 88060
14904 196 83439
63344 47953 117330
48207 62440 39438
67921 61743 86602
83789 41341 103017
66066 57312 191382
16091 93213 170006
24830 95534 29407
37228 85018 26933
30949 46929 76912
64369 96948 24591
82970 43174 82905
10721 22785 109533
22444 19081 135139
76264 61104 173851
55014 72154 187758
98611 85889 161214
39706 10768 108785
32722 86540 144541
8140 7994 124093
86012 83145 67230
82703 31698 188447
98728 90161 123908
89791 99502 106381
2782 84161 187667
9262 86297 163521
78561 34652 67686
44694 24310 152693
92480 2221 158237
7073 58538 46766
45345 59570 73043
42653 14519 161905
29723 17848 46707
70049 33809 125479
45940 13378 133596
74118 35777 193036
58338 10146 3593
96606 46506 127993
91608 79009 20731
39733 85862 90374
22286 63461 11069
94676 71511 99784
74238 92428 73654
84419 35237 73534
72461 10539 61129
78521 28810 94332
76806 16973 94916
59053 29562 71692
65379 11343 166062
57052 86928 105421
99436 69717 6733
12998 23206 142539
10709 56437 194089
91727 97358 120884
53012 28889 53979
76376 97008 48074
51796 42236 4628
48687 65849 83437
75512 5231 93280
3810 35500 42163
46260 25101 69561
26498 43719 42973
68024 79526 126254
68802 30072 168894
98018 82292 122093
42854 17709 106682
76777 36875 112149
95910 29810 41546
38808 21162 45293
95673 15618 90068
88671 26230 30590
65140 28716 24618
1991 28536 140870
474 1584 44197
87348 62945 34870
74884 63725 147860
29319 8698 21246
62951 59003 167441
21448 833 111286
60548 26779 17676
35916 51223 158802
38394 82790 181759
20399 29627 163645
85592 54308 45410
52052 6738 141381
38742 2508 69134
39018 93485 197695
61466 40780 34956
94240 24252 109358
36893 33294 100665
3574 51288 192810
84379 52691 77096
77912 27221 34534
38385 41792 168640
84643 42054 29848
29632 56267 142388
32951 20657 112129
12835 11593 35651
74966 49275 13631
72834 93342 198346
39311 58359 148500
46548 4031 75494
80278 2474 31571
28157 79600 35182
40450 38017 122444
53151 12936 86896
96322 65447 148991
81743 19869 122377
86545 16275 48661
16626 98214 83287
70714 17953 8679
36295 21203 123967
85439 95732 48680
32286 42799 126958
85407 50800 188055
41090 90418 82103
77848 4900 134698
61825 11645 68063
55862 83014 136484
77101 46235 87287
97503 77820 129772
29263 18758 15618
94090 35900 16248
67540 5988 10425
95071 26638 97116
55893 61637 195158
41152 88173 177423
43612 35055 22658
60925 45758 42336
43759 23980 129812
84116 41927 40078
81351 85397 25079
95777 90004 45525
94342 59992 110804
99122 93656 162429
99783 68593 131318
78045 22604 99504
41946 61206 151008
41995 30320 27310
80725 96604 98019
78875 28227 116088
64120 24576 135783
20921 98336 136170
64695 46917 160574
48843 40045 160753
36448 58203 68677
73525 33076 60983
44030 80669 79092
81534 97032 18899
96091 32929 165826
68506 12513 77344
75990 3425 183034
91064 72860 158396
11626 48070 80902
42131 40318 182188
32627 2236 186717
22903 24049 131745
29790 60138 6494
62931 96148 43543
6717 16688 148861
11845 72946 122411
58140 75549 8276
90154 25459 107629
38604 56999 168487
77038 97851 140366
13128 57812 107481
28421 86719 175302
14656 11276 17495
8136 22140 16735
55136 8440 155594
75518 99362 143818
52991 24913 60861
15262 67834 63625
48343 29659 101431
93101 75774 198689
97425 43655 164270
86710 98027 134897
96441 25595 109787
87201 6811 32308
90277 56166 66461
75172 85093 94378
8785 83719 37975
42821 13103 199444
33541 68002 129318
58991 67315 32878
53442 97707 107452
14071 42569 24034
47098 17255 103410
44332 26228 94733
51347 70354 102406
54337 18884 67948
18435 98293 29049
79996 5619 112599
73053 87492 173348
34452 63767 143606
27516 59946 48893
157 59724 177508
3932 61390 160010
35789 23777 17100
57992 79060 133515
50207 16457 123986
19015 63216 129804
60459 53962 98691
56981 7073 4957
4786 72469 199957
73367 16315 194691
37438 95095 147089
13904 82430 10703
42441 26939 29078
60753 34942 9235
56960 51935 75429
75728 33772 174488
87855 74976 196293
47462 11476 115137
37000 46402 27272
53269 71877 161977
53627 16710 68361
3516 71151 43209
4410 41378 83680
34650 73257 13074
79779 16519 46365
26104 84322 183397
49873 79280 98245
18906 67757 25969
49146 79230 65259
18350 86157 11051
58461 58815 39685
16636 68527 103970
35788 55023 11560
59463 56140 129537
22693 20592 35428
37889 47916 19071
3967 90255 34521
34832 7375 67160
79448 81301 153567
92624 82726 60551
86875 29205 11874
20482 31284 101277
71963 3250 108499
29259 59106 98415
17467 99671 165985
45926 71572 59955
59088 41603 167204
16469 21913 86644
37275 71752 2049
89934 44857 74460
6886 17729 4143
9866 42786 143997
51202 78252 51679
65914 15868 2358
44125 94798 180605
4783 13524 142389
5161 66181 154145
13365 84280 146378
73420 80965 184053
23937 58547 153366
65205 3442 157364
4817 78872 57988
65418 73568 24219
5384 87870 23562
82272 33392 36548
97206 84780 124355
39979 21462 97044
67695 43492 87468
10903 50456 32241
94024 47807 125858
19475 31105 172471
17200 19477 186570
67332 5406 4174
48154 41809 118040
33934 68284 119289
74813 45837 100601
45053 2467 6457
80225 87864 9284
20255 57032 80960
76101 82007 36175
78132 8331 192453
51003 2759 79491
16605 76409 54641
37393 68893 118710
56718 7501 163719
58642 6184 168276
18531 76788 87176
25653 13372 130644
2631 11316 25674
31052 49633 31793
47118 66490 97872
65395 79658 75641
41142 79643 37035
43860 99787 102840
98816 9684 175548
58115 70372 125612
63956 25985 22392
67324 22027 183855
76423 87043 47284
2037 11169 78170
17817 18762 128095
38445 62279 197022
69445 60858 197967
12092 97783 81425
32177 70784 171600
47470 20539 128128
81824 46522 32920
70725 12010 97009
55961 7678 16264
59610 39184 7619
6536 22792 103960
9483 86026 122140
54125 40011 198638
35035 91823 30161
75189 19395 120874
14196 76585 76136
1224 48804 31961
1043 97862 74281
67215 30520 50085
97004 1401 95107
88375 38407 89608
84942 18448 109996
93742 56462 131944
36988 14107 47903
34332 70566 2968
58786 75846 30298
41677 29030 38771
57008 79879 1909
88819 45782 156596
79017 62746 83446
