name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
J.J. Barea,5900,DAL,PG,LAL,33.9968,57.6217,19.1232,32.4122,26.56,45.0169
Dennis Smith Jr.,5800,DAL,PG,LAL,43.2954,74.6472,21.3246,36.7666,32.31,55.7069
Yogi Ferrell,3600,DAL,PG,LAL,36.8928,102.48,14.3472,39.8533,25.62,71.1667
Harrison Barnes,6500,DAL,SF,LAL,37.9086,58.3209,23.7314,36.5098,30.82,47.4154
Wesley Matthews,5000,DAL,SG,LAL,35.574,71.148,15.246,30.492,25.41,50.82
Willie Reed,3800,LAC,C,SAC,21.36,56.2105,5.34,14.0526,13.35,35.1316
Jawun Evans,5100,LAC,PG,SAC,32.6628,64.0447,5.3172,10.4259,18.99,37.2353
Treveon Graham,3500,CHA,SG,OKC,10.2102,29.172,4.0698,11.628,7.14,20.4
Caris LeVert,5600,BKN,SG,WAS,33.669,60.1232,16.211,28.9482,24.94,44.5357
DeMarre Carroll,4600,BKN,SF,WAS,31.222,67.8739,15.378,33.4304,23.3,50.6522
Nicolas Batum,5300,CHA,SG,OKC,39.4128,74.3638,18.5472,34.9947,28.98,54.6792
Michael Carter-Williams,3500,CHA,PG,OKC,14.453,41.2943,4.947,14.1343,9.7,27.7143
Michael Kidd-Gilchrist,4400,CHA,SF,OKC,32.8757,74.7175,13.1043,29.7825,22.99,52.25
Johnny O'Bryant,3500,CHA,PF,OKC,12.1068,34.5909,1.5732,4.49486,6.84,19.5429
Allen Crabbe,5400,BKN,SF,WAS,31.995,59.25,15.405,28.5278,23.7,43.8889
Rondae Hollis-Jefferson,7200,BKN,PF,WAS,41.14,57.1389,19.36,26.8889,30.25,42.0139
Jahlil Okafor,3500,BKN,C,WAS,18.7612,53.6034,2.3188,6.62514,10.54,30.1143
Nik Stauskas,3500,BKN,SG,WAS,10.728,30.6514,1.192,3.40571,5.96,17.0286
John Wall,10500,WAS,PG,BKN,61.8912,58.944,36.3488,34.6179,49.12,46.7810
Joe Harris,3900,BKN,SF,WAS,21.5016,55.1323,10.1184,25.9446,15.81,40.5385
Quincy Acy,3500,BKN,PF,WAS,21.9618,62.748,7.9182,22.6234,14.94,42.6857
Spencer Dinwiddie,6500,BKN,PG,WAS,42.6591,65.6294,18.7209,28.8014,30.69,47.2154
Jarrett Allen,3500,BKN,C,WAS,24.2005,69.1443,9.1795,26.2271,16.69,47.6857
Marvin Williams,3600,CHA,PF,OKC,28.5278,79.2439,11.6522,32.3672,20.09,55.8056
Frank Kaminsky,4600,CHA,PF,OKC,30.098,65.4304,10.302,22.3957,20.2,43.9130
Alex Abrines,3500,OKC,SG,CHA,11.277,32.22,1.323,3.78,6.3,18.0
Jerami Grant,3700,OKC,PF,CHA,20.398,55.1297,8.742,23.6270,14.57,39.3784
Raymond Felton,3800,OKC,PG,CHA,21.9248,57.6968,8.9552,23.5663,15.44,40.6316
Russell Westbrook,11100,OKC,PG,CHA,70.74,63.7297,47.16,42.4865,58.95,53.1081
Paul George,7900,OKC,SF,CHA,52.429,66.3658,28.231,35.7354,40.33,51.0506
Milos Teodosic,5400,LAC,PG,SAC,27.891,51.65,13.429,24.8685,20.66,38.2593
Tyrone Wallace,3600,LAC,SG,SAC,24.3388,67.6078,9.9412,27.6144,17.14,47.6111
Patrick Patterson,3500,OKC,PF,CHA,11.0025,31.4357,2.4975,7.13571,6.75,19.2857
Terrance Ferguson,3600,OKC,SG,CHA,24.39,67.75,2.71,7.52778,13.55,37.6389
Jeremy Lamb,4800,CHA,SG,OKC,29.1195,60.6656,14.0205,29.2094,21.57,44.9375
Dwight Howard,8800,CHA,C,OKC,48.1482,54.7139,21.6318,24.5816,34.89,39.6477
Kemba Walker,8500,CHA,PG,OKC,48.069,56.5518,28.231,33.2129,38.15,44.8824
Steven Adams,6300,OKC,C,CHA,34.9203,55.4290,19.2197,30.5075,27.07,42.9683
Josh Huestis,3500,OKC,SF,CHA,15.3114,43.7469,2.8086,8.02457,9.06,25.8857
Carmelo Anthony,5900,OKC,PF,CHA,32.1945,54.5669,18.5055,31.3653,25.35,42.9661
Lonzo Ball,7800,LAL,PG,DAL,49.0552,62.8913,23.0848,29.5959,36.07,46.2436
