name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Shabazz Napier,4300,POR,PG,MIN,30.9096,71.8828,7.2504,16.8614,19.08,44.3721
Al-Farouq Aminu,5000,POR,PF,MIN,31.6503,63.3006,13.8897,27.7794,22.77,45.54
Zach Collins,3500,POR,C,MIN,17.2398,49.2566,2.2402,6.40057,9.74,27.8286
Darren Collison,5100,IND,PG,PHO,42.434,83.2039,18.186,35.6588,30.31,59.4314
Thaddeus Young,5900,IND,PF,PHO,44.0097,74.5927,22.1703,37.5768,33.09,56.0847
James Johnson,5700,MIA,PF,MIL,37.4245,65.6570,14.1955,24.9044,25.81,45.2807
Goran Dragic,6500,MIA,PG,MIL,44.2083,68.0128,24.3317,37.4334,34.27,52.7231
Josh Richardson,5600,MIA,SF,MIL,37.1371,66.3162,14.8029,26.4338,25.97,46.375
Justise Winslow,4100,MIA,SF,MIL,23.1099,56.3656,9.6701,23.5856,16.39,39.9756
Tyler Johnson,5400,MIA,PG,MIL,33.978,62.9222,14.562,26.9667,24.27,44.9444
Anthony Davis,10700,NOP,PF,NYK,65.9968,61.6793,37.1232,34.6946,51.56,48.1869
Wayne Ellington,4300,MIA,SG,MIL,27.8613,64.7937,8.5587,19.9040,18.21,42.3488
Kelly Olynyk,6400,MIA,PF,MIL,39.846,62.2594,15.114,23.6156,27.48,42.9375
Hassan Whiteside,7600,MIA,C,MIL,49.2888,64.8537,25.3912,33.4095,37.34,49.1316
Sterling Brown,3500,MIL,SG,MIA,24.1395,68.97,5.1205,14.63,14.63,41.8
Eric Bledsoe,7700,MIL,PG,MIA,42.9989,55.8427,21.6611,28.1313,32.33,41.9870
Malcolm Brogdon,5600,MIL,SG,MIA,36.7586,65.6404,19.3614,34.5739,28.06,50.1071
Khris Middleton,7000,MIL,SG,MIA,40.3921,57.703,20.3479,29.0684,30.37,43.3857
Tony Snell,3500,MIL,SG,MIA,12.7008,36.288,4.9392,14.112,8.82,25.2
John Henson,5000,MIL,PF,MIA,38.6098,77.2196,15.7702,31.5404,27.19,54.38
Thon Maker,3500,MIL,C,MIA,21.3363,60.9609,6.9237,19.782,14.13,40.3714
Matthew Dellavedova,3500,MIL,PG,MIA,16.1262,46.0749,4.9538,14.1537,10.54,30.1143
DeMarcus Cousins,11000,NOP,C,NYK,61.0326,55.4842,38.2074,34.734,49.62,45.1091
Jrue Holiday,7200,NOP,SG,NYK,43.94,61.0278,23.66,32.8611,33.8,46.9444
Lance Thomas,3500,NYK,SF,NOP,19.1672,54.7634,6.0528,17.2937,12.61,36.0286
Doug McDermott,3500,NYK,SF,NOP,6.1617,17.6049,2.5783,7.36657,4.37,12.4857
Enes Kanter,5300,NYK,C,NOP,40.0384,75.5442,18.8416,35.5502,29.44,55.5472
Kyle O'Quinn,4300,NYK,C,NOP,35.0838,81.5902,12.9762,30.1772,24.03,55.8837
Jarrett Jack,4700,NYK,PG,NOP,35.3418,75.1953,15.8782,33.7834,25.61,54.4894
Victor Oladipo,9300,IND,SG,PHO,64.077,68.9,34.503,37.1,49.29,53
Michael Beasley,7300,NYK,SF,NOP,27.9892,38.3414,5.5308,7.57644,16.76,22.9589
Frank Ntilikina,3900,NYK,PG,NOP,18.9054,48.4754,4.4346,11.3708,11.67,29.9231
Courtney Lee,5600,NYK,SG,NOP,31.8518,56.8782,15.6882,28.0146,23.77,42.4464
Ian Clark,3600,NOP,PG,NYK,29.412,81.7,4.788,13.3,17.1,47.5
Dante Cunningham,3500,NOP,SF,NYK,15.03,42.9429,5.01,14.3143,10.02,28.6286
E'Twaun Moore,4900,NOP,SF,NYK,27.7699,56.6733,12.7701,26.0614,20.27,41.3673
Darius Miller,3500,NOP,SF,NYK,21.2517,60.7191,6.5283,18.6523,13.89,39.6857
Rajon Rondo,5300,NOP,PG,NYK,41.2832,77.8928,13.0368,24.5977,27.16,51.2453
Tim Hardaway Jr.,4500,NYK,SG,NOP,32.9376,73.1947,12.1824,27.072,22.56,50.1333
Kristaps Porzingis,8400,NYK,PF,NOP,59.9352,71.3514,28.2048,33.5771,44.07,52.4643
Giannis Antetokounmpo,10800,MIL,SF,MIA,53.3754,49.4217,37.8646,35.0598,45.62,42.2407
