Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,,,,
D,Adam Larsson (13595575),Adam Larsson,13595575,D/UTIL,3300,DET@EDM 10/18/2019 09:00PM ET,EDM,9.7,#N/A,,Kaapo Kakko,1800,1800,275
D,Brandon Manning (13595603),Brandon Manning,13595603,D/UTIL,3200,DET@EDM 10/18/2019 09:00PM ET,EDM,11.5,#N/A,,John Carlson,1900,1900,310
RW,Evgeny Svechnikov (13595696),Evgeny Svechnikov,13595696,W/UTIL,3200,DET@EDM 10/18/2019 09:00PM ET,DET,0,335,,Travis Boyd,2200,2200,370
D,Korbinian Holzer (13595543),Korbinian Holzer,13595543,D/UTIL,3200,CAR@ANH 10/18/2019 10:00PM ET,ANH,7.8,1300,,Nic Dowd,2200,2200,370
RW,Martin Necas (13595745),Martin Necas,13595745,W/UTIL,3200,CAR@ANH 10/18/2019 10:00PM ET,CAR,6.55,335,,Garnet Hathaway,2200,2200,370
D,Joel Persson (13595759),Joel Persson,13595759,D/UTIL,3100,DET@EDM 10/18/2019 09:00PM ET,EDM,4.78,430,,Chandler Stephenson,2200,2200,370
D,Trevor Daley (13595497),Trevor Daley,13595497,D/UTIL,3000,DET@EDM 10/18/2019 09:00PM ET,DET,2.73,#N/A,,Ryan Strome,2200,2200,350
RW,Alex Chiasson (13595607),Alex Chiasson,13595607,W/UTIL,3000,DET@EDM 10/18/2019 09:00PM ET,EDM,2.58,245,,Brendan Leipsic,2400,2400,410
LW,Taro Hirose (13595773),Taro Hirose,13595773,W/UTIL,3000,DET@EDM 10/18/2019 09:00PM ET,DET,3.19,360,,Lias Andersson,2400,2400,390
D,Joel Edmundson (13595590),Joel Edmundson,13595590,D/UTIL,3000,CAR@ANH 10/18/2019 10:00PM ET,CAR,6.11,850,,Brett Howden,2400,2400,390
RW,Brock McGinn (13595615),Brock McGinn,13595615,W/UTIL,3000,CAR@ANH 10/18/2019 10:00PM ET,CAR,4.4,410,,Jacob Trouba,2400,2400,390
LW,Nick Ritchie (13595663),Nick Ritchie,13595663,W/UTIL,3000,CAR@ANH 10/18/2019 10:00PM ET,ANH,4.58,270,,Brendan Lemieux,2500,2500,425
D,Brendan Guhle (13595704),Brendan Guhle,13595704,D/UTIL,3000,CAR@ANH 10/18/2019 10:00PM ET,ANH,7.78,1050,,Jesper Fast,2800,2800,460
C,Sam Steel (13595728),Sam Steel,13595728,C/UTIL,3000,CAR@ANH 10/18/2019 10:00PM ET,ANH,3.1,320,,Micheal Haley,2900,2900,500
D,Josh Manson (13595594),Josh Manson,13595594,D/UTIL,2900,CAR@ANH 10/18/2019 10:00PM ET,ANH,5.03,650,,Greg McKegg,2900,2900,500
LW,Max Comtois (13595749),Max Comtois,13595749,W/UTIL,2900,CAR@ANH 10/18/2019 10:00PM ET,ANH,2.17,360,,Dimitri Orlov,3000,3000,510
C,Frans Nielsen (13595518),Frans Nielsen,13595518,C/UTIL,2800,DET@EDM 10/18/2019 09:00PM ET,DET,2.52,#N/A,,Anthony DeAngelo,3300,3300,540
D,Alex Biega (13595541),Alex Biega,13595541,D/UTIL,2800,DET@EDM 10/18/2019 09:00PM ET,DET,5.05,#N/A,,Michal Kempny,4000,4000,650
LW,Joakim Nygard (13595779),Joakim Nygard,13595779,W/UTIL,2800,DET@EDM 10/18/2019 09:00PM ET,EDM,4.1,#N/A,,Adam Fox,4000,4000,650
RW,Troy Terry (13595713),Troy Terry,13595713,W/UTIL,2800,CAR@ANH 10/18/2019 10:00PM ET,ANH,2.79,270,,Brady Skjei,4000,4000,650
LW,Valtteri Filppula (13595511),Valtteri Filppula,13595511,W/UTIL,2700,DET@EDM 10/18/2019 09:00PM ET,DET,2.26,360,,Radko Gudas,4500,4500,800
LW,Tomas Jurco (13595585),Tomas Jurco,13595585,W/UTIL,2700,DET@EDM 10/18/2019 09:00PM ET,EDM,3.07,245,,Nick Jensen,4500,4500,800
RW,Patrick Russell (13595720),Patrick Russell,13595720,W/UTIL,2700,DET@EDM 10/18/2019 09:00PM ET,EDM,3.12,#N/A,,Jonas Siegenthaler,4500,4500,800
C,Derek Grant (13595563),Derek Grant,13595563,C/UTIL,2700,CAR@ANH 10/18/2019 10:00PM ET,ANH,5.67,480,,Brendan Smith,6600,6600,1100
RW,Justin Abdelkader (13595530),Justin Abdelkader,13595530,W/UTIL,2600,DET@EDM 10/18/2019 09:00PM ET,DET,4.53,380,,Marc Staal,8000,8000,1300
C,Riley Sheahan (13595551),Riley Sheahan,13595551,C/UTIL,2600,DET@EDM 10/18/2019 09:00PM ET,EDM,1.5,390,,Sidney Crosby,950,950,155
RW,Josh Archibald (13595598),Josh Archibald,13595598,W/UTIL,2600,DET@EDM 10/18/2019 09:00PM ET,EDM,1.88,#N/A,,Jake Guentzel,950,950,155
D,Matt Benning (13595627),Matt Benning,13595627,D/UTIL,2600,DET@EDM 10/18/2019 09:00PM ET,EDM,2.94,#N/A,,Tyler Seguin,1050,1050,170
D,Michael Del Zotto (13595534),Michael Del Zotto,13595534,D/UTIL,2600,CAR@ANH 10/18/2019 10:00PM ET,ANH,4.16,650,,Joe Pavelski,1150,1150,190
D,Haydn Fleury (13595661),Haydn Fleury,13595661,D/UTIL,2600,CAR@ANH 10/18/2019 10:00PM ET,CAR,4.96,750,,Jamie Benn,1200,1200,205
LW,Warren Foegele (13595672),Warren Foegele,13595672,W/UTIL,2600,CAR@ANH 10/18/2019 10:00PM ET,CAR,3.45,310,,Alexander Radulov,1200,1200,205
C,Kyle Brodziak (13595507),Kyle Brodziak,13595507,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Patric Hörnqvist,1300,1300,235
D,Jonathan Ericsson (13595516),Jonathan Ericsson,13595516,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Alex Galchenyuk,1400,1400,250
RW,Sam Gagner (13595527),Sam Gagner,13595527,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,260,,Dominik Kahun,1600,1600,300
D,Brian Lashoff (13595536),Brian Lashoff,13595536,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Sam Lafferty,1600,1600,300
D,Dylan McIlrath (13595547),Dylan McIlrath,13595547,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Jared McCann,1600,1600,300
LW,Brad Malone (13595567),Brad Malone,13595567,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Brandon Tanev,1600,1600,300
LW,Matt Puempel (13595581),Matt Puempel,13595581,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Corey Perry,1600,1600,290
C,Markus Granlund (13595588),Markus Granlund,13595588,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,1.44,300,,Andrew Agozzino,1700,1700,320
D,Keegan Lowe (13595592),Keegan Lowe,13595592,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Bryan Rust,1700,1700,320
LW,Jujhar Khaira (13595621),Jujhar Khaira,13595621,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,1.84,390,,Roope Hintz,1700,1700,310
RW,Adam Erne (13595639),Adam Erne,13595639,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,3.9,335,,Kris Letang,1800,1800,340
C,Jacob de la Rose (13595641),Jacob de la Rose,13595641,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,5.66,480,,Dominik Simon,1800,1800,340
D,Madison Bowey (13595645),Madison Bowey,13595645,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,2.3,900,,Zachary Aston-Reese,2000,2000,360
C,Bogdan Yakimov (13595651),Bogdan Yakimov,13595651,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Joseph Blandisi,2000,2000,360
RW,Josh Currie (13595657),Josh Currie,13595657,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Teddy Blueger,2000,2000,360
C,Dominic Turgeon (13595670),Dominic Turgeon,13595670,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Adam Johnson,2000,2000,360
D,William Lagesson (13595674),William Lagesson,13595674,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,540,,Justin Schultz,2200,2200,425
RW,Christoffer Ehn (13595680),Christoffer Ehn,13595680,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0.93,380,,Nicholas Caamano,2200,2200,420
LW,Nolan Vesey (13595686),Nolan Vesey,13595686,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Radek Faksa,2200,2200,390
D,Joe Hicketts (13595690),Joe Hicketts,13595690,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Rhett Gardner,2200,2200,420
C,Colby Cave (13595692),Colby Cave,13595692,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,300,,Denis Guryanov,2200,2200,420
D,Caleb Jones (13595709),Caleb Jones,13595709,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Joel L'Esperance,2200,2200,420
C,Cooper Marody (13595715),Cooper Marody,13595715,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Justin Dowling,2400,2400,450
LW,Tyler Benson (13595730),Tyler Benson,13595730,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Miro Heiskanen,2400,2400,450
LW,Joseph Gambardella (13595739),Joseph Gambardella,13595739,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,John Klingberg,2400,2400,450
RW,Michael Rasmussen (13595743),Michael Rasmussen,13595743,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,410,,Mattias Janmark-Nylén,2500,2500,480
RW,Kailer Yamamoto (13595747),Kailer Yamamoto,13595747,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Andrew Cogliano,2800,2800,540
C,Gaetan Haas (13595755),Gaetan Haas,13595755,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,2.28,#N/A,,Esa Lindell,3000,3000,575
LW,Filip Zadina (13595763),Filip Zadina,13595763,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Marcus Pettersson,3300,3300,650
D,Evan Bouchard (13595765),Evan Bouchard,13595765,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Erik Gudbranson,4000,4000,800
C,Joseph Veleno (13595769),Joseph Veleno,13595769,C/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,#N/A,,Jack Johnson,4000,4000,800
LW,Ryan Kuffner (13595771),Ryan Kuffner,13595771,W/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,360,,John Marino,4000,4000,800
D,Oliwer Kaski (13595777),Oliwer Kaski,13595777,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,DET,0,650,,Juuso Riikola,4000,4000,800
D,Philip Broberg (13595781),Philip Broberg,13595781,D/UTIL,2500,DET@EDM 10/18/2019 09:00PM ET,EDM,0,#N/A,,Joel Hanley,5000,5000,950
C,Ryan Kesler (13595501),Ryan Kesler,13595501,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Andrej Sekera,5000,5000,950
RW,Patrick Eaves (13595505),Patrick Eaves,13595505,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Taylor Fedun,5500,5500,1100
D,Jani Hakanpaa (13595556),Jani Hakanpaa,13595556,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Jamie Oleksiak,5500,5500,1100
C,Sam Carrick (13595559),Sam Carrick,13595559,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Brian Dumoulin,6000,6000,1150
LW,Brian Gibbons (13595565),Brian Gibbons,13595565,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0.75,#N/A,,Patrick Kane,850,850,120
LW,Nicolas Deslauriers (13595571),Nicolas Deslauriers,13595571,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0.65,#N/A,,Alex DeBrincat,900,900,130
LW,Max McCormick (13595596),Max McCormick,13595596,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Cam Atkinson,950,950,140
D,Chris Wideman (13595605),Chris Wideman,13595605,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Jonathan Toews,1150,1150,180
RW,Jordan Martinook (13595617),Jordan Martinook,13595617,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,3.02,#N/A,,Alexander Nylander,1300,1300,210
C,Devin Shore (13595619),Devin Shore,13595619,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,4.58,390,,Dylan Strome,1500,1500,245
RW,Carter Rowney (13595633),Carter Rowney,13595633,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,2.16,480,,Pierre-Luc Dubois,1500,1500,255
RW,Nick Sorensen (13595643),Nick Sorensen,13595643,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Brandon Saad,1600,1600,265
RW,Saku Maenalanen (13595653),Saku Maenalanen,13595653,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Josh Anderson,1600,1600,265
D,Trevor van Riemsdyk (13595655),Trevor van Riemsdyk,13595655,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Gustav Nyquist,1600,1600,265
D,Roland McKeown (13595668),Roland McKeown,13595668,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Alexandre Texier,1700,1700,280
C,Lucas Wallmark (13595676),Lucas Wallmark,13595676,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,3.56,360,,Dominik Kubalik,1800,1800,300
C,Chase De Leo (13595678),Chase De Leo,13595678,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Andrew Shaw,1800,1800,300
D,Gustav Forsling (13595682),Gustav Forsling,13595682,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Oliver Björkstrand,1800,1800,300
C,Clark Bishop (13595684),Clark Bishop,13595684,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Nick Foligno,1800,1800,300
D,Jacob Larsson (13595698),Jacob Larsson,13595698,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,4,1050,,David Kämpf,2000,2000,340
RW,Daniel Sprong (13595702),Daniel Sprong,13595702,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Brendan Perlini,2000,2000,340
RW,Deven Sideroff (13595706),Deven Sideroff,13595706,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Emil Bemström,2000,2000,360
C,Andrew Poturalski (13595717),Andrew Poturalski,13595717,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Boone Jenner,2000,2000,340
D,Jake Bean (13595722),Jake Bean,13595722,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Drake Caggiula,2200,2200,370
LW,Max Jones (13595726),Max Jones,13595726,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,3.8,450,,Erik Gustafsson,2200,2200,400
RW,Janne Kuokkanen (13595732),Janne Kuokkanen,13595732,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Seth Jones,2200,2200,390
D,Josh Mahura (13595736),Josh Mahura,13595736,D/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,800,,Jakob Lilja,2400,2400,420
C,Justin Kloos (13595741),Justin Kloos,13595741,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Alexander Wennberg,2400,2400,420
C,Antoine Morand (13595751),Antoine Morand,13595751,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Zach Werenski,2400,2400,420
C,Morgan Geekie (13595753),Morgan Geekie,13595753,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,John Quenneville,2500,2500,440
RW,Kiefer Sherwood (13595757),Kiefer Sherwood,13595757,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,525,,Marko Daňo,2500,2500,450
C,Isac Lundestrom (13595767),Isac Lundestrom,13595767,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,1.93,#N/A,,Riley Nash,2500,2500,450
LW,Jacob Pritchard (13595775),Jacob Pritchard,13595775,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Ryan Carpenter,2800,2800,480
C,Ryan Suzuki (13595783),Ryan Suzuki,13595783,C/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,CAR,0,#N/A,,Zack Smith,2800,2800,480
LW,Brayden Tracey (13595785),Brayden Tracey,13595785,W/UTIL,2500,CAR@ANH 10/18/2019 10:00PM ET,ANH,0,#N/A,,Duncan Keith,3300,3300,600
,,,,,,,,,,,Brent Seabrook,3500,3500,700
,,,,,,,,,,,Ryan Murray,3500,3500,650
,,,,,,,,,,,Markus Nutivaara,3500,3500,650
,,,,,,,,,,,Slater Koekkoek,4000,4000,800
,,,,,,,,,,,Connor Murphy,4000,4000,800
,,,,,,,,,,,Olli Määttä,4000,4000,800
,,,,,,,,,,,David Savard,4000,4000,750
,,,,,,,,,,,Calvin de Haan,5000,5000,900
,,,,,,,,,,,Vladislav Gavrikov,5000,5000,850
,,,,,,,,,,,Dean Kukan,5000,5000,850
,,,,,,,,,,,Scott Harrington,7000,7000,1200
,,,,,,,,,,,Connor McDavid,700,700,-112
,,,,,,,,,,,Leon Draisaitl,800,800,100
,,,,,,,,,,,James Neal,900,900,120
,,,,,,,,,,,Ryan Nugent-Hopkins,1100,1100,163
