Presidency ,President ,Wikipedia Entry,Took office ,Left office ,Party ,Home State,Elected,,,,,,,
31,Herbert Hoover,http://en.wikipedia.org/wiki/Herbert_Hoover,4/03/1929,4/03/1933,Republican ,Iowa,1,4,21.95,6.88,-68.66%,-25.18%,-25.18%,-0.686560364464692
32,Franklin D. Roosevelt,http://en.wikipedia.org/wiki/Franklin_D._Roosevelt,4/03/1933,12/4/1945,Democratic,New York,1,12,6.88,12.89,87.35%,5.37%,5.37%,0.873546511627905
33,Harry S. Truman,http://en.wikipedia.org/wiki/Harry_S._Truman,12/4/1945,20/01/1953,Democratic,Missouri,1,8,12.89,24.52,90.22%,8.37%,8.37%,0.902249806051203
34,Dwight D. Eisenhower,http://en.wikipedia.org/wiki/Dwight_D._Eisenhower,20/01/1953,20/01/1961,Republican ,Texas,1,8,24.52,54.9,123.90%,10.60%,10.60%,1.23898858075041
35,John F. Kennedy,http://en.wikipedia.org/wiki/John_F._Kennedy,20/01/1961,22/11/1963,Democratic,Massachusetts,1,,54.9,,,,,
36,Lyndon B. Johnson,http://en.wikipedia.org/wiki/Lyndon_B._Johnson,22/11/1963,20/1/1969,Democratic,Texas,1,8,,103.06,87.72%,8.19%,8.19%,0.877231329690347
37,Richard Nixon,http://en.wikipedia.org/wiki/Richard_Nixon,20/1/1969,9/8/1974,Republican,California,1,,103.06,,,,,
38,Gerald Ford,http://en.wikipedia.org/wiki/Gerald_Ford,9/8/1974,20/01/1977,Republican,Michigan,0,8,,100.82,-2.17%,-0.27%,-0.27%,-0.021734911701922
39,Jimmy Carter,http://en.wikipedia.org/wiki/Jimmy_Carter,20/01/1977,20/01/1981,Democratic ,Georgia,1,4,100.82,127.47,26.43%,,6.04%,0.264332473715533
40,Ronald Reagan,http://en.wikipedia.org/wiki/Ronald_Reagan,20/01/1981,20/01/1989,Republican ,California,1,8,127.47,276.31,116.76%,,10.15%,1.16764728955833
41,George H. W. Bush,http://en.wikipedia.org/wiki/George_H._W._Bush,20/01/1989,20/01/1993,Republican ,Texas,1,4,276.31,418.68,51.53%,,10.95%,0.515254605334588
42,Bill Clinton,http://en.wikipedia.org/wiki/Bill_Clinton,20/01/1993,20/01/2001,Democratic ,Arkansas,1,8,418.68,1426.69,240.76%,,16.56%,2.40759052259482
43,George W. Bush,http://en.wikipedia.org/wiki/George_W._Bush,20/01/2001,20/01/2009,Republican ,Texas,1,8,1426.69,968.75,-32.10%,,-4.72%,-0.320980731623548
44,Barack Obama,http://en.wikipedia.org/wiki/Barack_Obama,20/01/2009,20/01/2017,  Democratic   ,Illinois,1,8,968.75,2085.18,115.24%,,10.06%,1.15244387096774
45,Donald J Trump,https://en.wikipedia.org/wiki/Donald_Trump,20/01/2017,Current,Republican,New York,1,3,2085.18,2304.92,10.54%,,3.40%,0.105381789581715
,,,,,,,,3,2085.18,3380,62.10%,,17.47%,0.620963178238809
,,,,,,,,,,,,,,
,,,,,,,,,,,,Democrats,9.10%,
,,,,,,,,,,,,Republicans,-1.96%,
,,,,,,,,,,,,Republicans,-0.20%,
,,,,,,,,,,,,Republicans,7.36%,
