Transaction ID;Transaction Date;Denominated Currency;Cost;Client ID;Sales ID
71;04/28/2017;GBP;651074;83;14
72;02/01/2019;CHF;802916;84;97
73;11/10/2019;JPY;106002300;186;93
74;09/01/2018;SEK;6838118;142;98
75;12/27/2018;NZD;407715;113;60
76;11/09/2017;CAD;978785;51;46
77;07/02/2018;DKK;4885607;166;48
78;06/16/2018;AUD;236920;125;67
79;09/22/2018;AUD;137320;162;22
80;07/06/2018;CHF;192621;90;40
81;11/24/2018;CHF;733275;68;30
82;04/21/2018;AUD;206112;192;73
83;08/27/2017;NOK;7983307;15;67
84;12/19/2019;CAD;1032068;51;14
85;09/27/2018;CAD;700073;52;53
86;12/23/2019;NOK;596687;126;75
87;10/24/2018;DKK;2509932;87;53
88;10/09/2019;CAD;534965;43;13
89;11/26/2018;CAD;813941;165;69
90;11/13/2017;NOK;8138007;157;89
91;09/17/2019;DKK;6062351;85;7
92;05/04/2019;NZD;662661;41;14
93;04/26/2017;SEK;5628839;8;40
94;03/18/2017;SEK;420780;174;95
95;04/13/2019;CHF;344603;56;31
96;03/28/2019;JPY;101185179;48;12
97;05/25/2019;AUD;592309;48;19
98;07/21/2017;EUR;718127;25;8
99;01/22/2019;CHF;496937;9;73
100;08/22/2017;EUR;308544;72;30
101;11/23/2019;GBP;575930;197;84
102;06/13/2018;NOK;6455485;154;40
103;05/04/2017;DKK;1667321;95;70
104;03/04/2018;EUR;471452;118;20
105;12/11/2017;NZD;1015061;47;9
106;10/13/2018;SEK;7988973;21;66
107;04/12/2018;JPY;13842504;11;8
108;08/10/2017;EUR;39619;123;69
109;01/04/2018;AUD;465726;25;32
110;10/13/2018;NZD;567702;190;55
111;12/12/2017;JPY;61362897;184;37
112;04/13/2018;AUD;85697;9;47
113;01/25/2018;SEK;8891579;109;32
114;02/10/2019;EUR;823001;48;4
115;07/13/2019;NZD;333765;86;23
116;03/29/2018;JPY;102570284;157;91
117;03/28/2018;DKK;4276209;65;70
118;01/08/2019;GBP;602985;64;23
119;04/27/2017;JPY;22786804;29;55
120;07/12/2017;GBP;287932;134;4
121;08/06/2019;SEK;389056;113;74
122;10/15/2018;CHF;617364;60;99
123;04/16/2018;SEK;5864731;122;21
124;05/22/2017;CAD;339542;175;22
125;05/15/2018;AUD;998582;39;65
126;10/17/2019;JPY;4411314;178;86
127;05/08/2017;EUR;730930;182;96
128;08/02/2019;AUD;201440;155;2
129;04/29/2017;NOK;490849;42;89
130;09/23/2017;JPY;81770304;82;44
131;10/23/2018;NOK;8281354;150;0
132;12/11/2019;NOK;5552768;183;53
133;07/25/2017;DKK;5783570;41;78
134;08/01/2019;NOK;3208240;152;26
135;11/05/2019;CHF;890852;52;21
136;09/04/2018;GBP;613953;77;28
137;05/13/2019;AUD;1194616;153;54
138;07/21/2019;NZD;16295;159;65
139;03/16/2017;SEK;4064019;137;24
140;04/04/2018;AUD;669678;133;12
141;05/05/2019;JPY;36303899;51;50
142;12/23/2018;CHF;685800;120;43
143;10/16/2018;DKK;2024247;195;28
144;08/17/2018;AUD;902288;103;80
145;03/21/2017;DKK;4180349;141;5
146;08/19/2018;NOK;5871327;121;94
147;07/20/2018;NOK;7508754;189;35
148;02/27/2017;AUD;142719;16;33
149;05/08/2018;NOK;7002873;13;14
150;11/19/2019;NZD;253131;5;28
151;03/16/2019;DKK;562004;27;94
152;10/23/2018;AUD;219411;85;50
153;07/12/2019;NZD;611695;31;3
154;01/09/2019;NZD;860635;149;32
155;07/22/2017;SEK;3656551;103;97
156;11/06/2017;DKK;1213108;76;34
157;12/02/2019;GBP;92586;71;80
158;06/15/2019;GBP;441005;49;90
159;03/17/2019;AUD;67120;175;14
160;06/10/2019;DKK;3316511;73;58
161;03/25/2019;JPY;71476919;141;75
162;07/06/2018;CAD;335680;152;79
163;01/10/2019;DKK;5277358;33;46
164;04/28/2018;NOK;2578292;193;95
165;12/30/2017;EUR;420705;160;68
166;02/14/2019;DKK;4173358;36;75
167;07/11/2017;AUD;134419;189;28
168;04/21/2018;EUR;434684;194;32
169;01/28/2018;SEK;3799167;12;34
170;03/12/2017;CHF;88660;84;98
171;03/10/2017;NZD;761696;140;43
172;07/06/2018;EUR;307361;55;10
173;10/27/2018;CHF;454377;184;6
174;05/15/2018;DKK;1081097;99;48
175;03/26/2019;GBP;590910;40;72
176;10/02/2018;CAD;26345;64;22
177;12/07/2018;CHF;863423;7;38
178;03/28/2018;DKK;4875407;132;33
179;08/21/2018;NZD;1068269;52;88
180;08/11/2017;JPY;19695743;84;76
181;07/06/2017;NZD;991173;111;66
182;03/03/2019;NOK;368519;51;5
183;10/19/2019;GBP;386222;63;52
184;06/11/2019;CAD;926212;39;81
185;09/17/2019;JPY;37414400;41;2
186;11/20/2018;AUD;525145;122;53
187;05/30/2017;EUR;466854;92;72
188;10/08/2018;CHF;925622;120;78
189;12/12/2018;JPY;4333084;20;51
190;12/21/2019;NOK;2304674;172;16
191;05/03/2019;AUD;709170;142;99
192;12/13/2017;DKK;6263431;131;16
193;11/18/2018;CAD;148755;64;21
194;06/22/2018;CAD;1134101;186;22
195;11/14/2017;CAD;1067461;116;77
196;03/27/2019;AUD;653924;15;51
197;07/16/2018;EUR;795842;142;57
198;01/31/2017;DKK;712159;62;5
199;11/24/2017;CAD;464657;69;11
200;11/09/2017;DKK;5815941;96;47
201;09/19/2018;CAD;212714;100;28
202;12/14/2018;CAD;609809;176;73
203;10/28/2018;JPY;67083455;51;83
204;03/22/2018;NOK;8150607;107;67
205;02/25/2018;NOK;3935172;124;0
206;07/15/2017;DKK;656404;92;32
207;12/11/2018;JPY;67125359;141;18
208;11/25/2017;SEK;7635455;99;73
209;10/26/2019;CHF;450888;29;59
210;07/18/2018;CAD;277616;156;92
211;01/27/2018;DKK;5355821;1;18
212;09/27/2019;CHF;578562;54;52
213;10/30/2018;EUR;21814;34;42
214;07/12/2017;CAD;841734;142;29
215;01/16/2018;GBP;161569;81;5
216;11/29/2018;NOK;8409413;154;8
217;10/07/2017;NZD;1003768;111;84
218;10/25/2017;EUR;808747;43;99
219;03/01/2017;AUD;1391096;62;47
220;01/09/2019;AUD;1346396;58;87
221;08/17/2019;CAD;959143;157;51
222;11/12/2017;JPY;89086612;4;16
223;04/19/2017;GBP;20364;177;70
224;04/24/2017;DKK;5295693;41;83
225;05/12/2019;NOK;6938267;163;11
226;07/26/2017;EUR;224142;70;42
227;03/18/2017;CAD;1136140;6;20
228;03/02/2017;CAD;948826;124;14
229;03/30/2019;NOK;4175477;142;7
230;05/27/2019;EUR;419407;1;91
231;06/30/2017;EUR;678425;124;47
232;02/20/2019;EUR;493204;35;12
233;01/31/2017;SEK;2601441;135;31
234;09/24/2018;JPY;100941942;66;93
235;09/29/2018;CHF;100308;180;67
236;01/23/2017;NZD;260570;34;61
237;12/19/2017;CHF;434500;116;88
238;08/24/2019;AUD;1428984;124;44
239;10/07/2017;DKK;2842350;40;2
240;10/03/2019;NZD;754042;40;45
241;08/06/2018;CHF;33184;167;30
242;01/25/2019;CAD;757007;137;80
243;04/28/2019;CHF;5258;34;40
244;12/04/2019;SEK;3135184;143;68
245;05/13/2019;EUR;305271;159;83
246;08/01/2018;CAD;124153;10;70
247;07/28/2019;DKK;6443011;128;69
248;01/26/2017;AUD;1194243;24;8
249;11/28/2017;NOK;2827823;185;90
250;12/02/2017;AUD;1336541;110;3
251;01/20/2017;JPY;97967127;26;10
252;10/26/2018;SEK;131591;168;53
253;03/18/2018;CAD;569604;106;61
254;07/29/2018;NOK;4910443;66;32
255;04/29/2018;SEK;369851;106;40
256;03/31/2017;CHF;100402;175;7
257;09/25/2019;DKK;2891127;92;10
258;10/22/2018;GBP;522726;191;41
259;09/13/2019;GBP;49053;180;94
260;08/05/2017;CHF;113894;182;47
261;11/24/2019;AUD;1042662;179;55
262;07/18/2018;SEK;1833410;169;92
263;04/18/2019;CAD;260159;174;93
264;05/12/2018;GBP;252478;30;49
265;10/07/2018;EUR;869130;197;86
266;09/03/2019;CHF;457226;58;14
267;03/03/2017;JPY;105835961;47;60
268;03/29/2018;CAD;491217;6;76
269;09/06/2017;GBP;9532;70;8
270;01/17/2018;DKK;591007;83;10
271;07/31/2017;GBP;640860;101;19
272;04/30/2018;CHF;87902;42;78
273;12/31/2018;AUD;922816;138;82
274;10/27/2017;JPY;7087299;10;47
275;03/21/2017;GBP;221112;37;6
276;01/29/2017;AUD;731471;4;0
277;07/16/2018;AUD;709107;70;14
278;04/14/2019;NOK;6257659;20;18
279;11/08/2019;NZD;1412498;62;58
280;09/30/2019;AUD;1423899;93;80
281;03/12/2017;NZD;617714;94;5
282;01/03/2017;AUD;671880;172;79
283;04/17/2017;CAD;807611;143;70
284;02/11/2019;CAD;576086;48;67
285;08/05/2018;AUD;833028;198;17
286;06/14/2017;JPY;6198504;119;58
287;12/04/2017;AUD;1203309;173;14
288;06/11/2018;NZD;462232;166;9
289;04/10/2018;DKK;2683719;23;57
290;11/09/2019;EUR;710295;107;51
291;10/07/2017;AUD;9331;192;55
292;01/25/2018;NZD;1292422;117;11
293;12/19/2017;JPY;44643743;76;92
294;09/18/2019;EUR;866207;65;58
295;07/22/2017;SEK;8419334;104;22
296;07/13/2017;NOK;7576233;26;45
297;09/22/2018;AUD;900516;109;95
298;02/25/2019;DKK;5421541;162;45
299;11/19/2019;DKK;4353933;191;37
300;09/12/2019;CHF;196109;89;97
301;02/02/2019;CAD;1006826;48;10
302;07/03/2019;SEK;3125396;156;95
303;09/05/2017;NZD;1062041;135;28
304;01/10/2017;AUD;123260;112;98
305;07/21/2019;AUD;1339406;60;39
306;12/30/2018;NOK;2744663;174;60
307;05/23/2018;GBP;719445;180;1
308;12/22/2019;SEK;8632136;27;85
309;04/19/2018;NOK;893643;25;30
310;02/24/2019;JPY;20674363;1;36
311;04/22/2019;DKK;4919211;129;47
312;08/28/2017;NOK;4403727;111;20
313;03/10/2018;EUR;300710;126;81
314;12/11/2019;JPY;64461433;11;26
315;12/07/2018;AUD;328804;12;12
316;10/25/2017;JPY;28233405;126;95
317;07/01/2019;NOK;1934859;175;94
318;01/15/2019;NOK;6083834;106;89
319;04/03/2018;EUR;798271;101;93
320;04/24/2018;JPY;103203425;60;40
321;04/12/2017;NOK;7569121;173;99
322;01/10/2017;AUD;1224581;99;86
323;04/15/2019;DKK;2356537;179;77
324;05/27/2017;JPY;65858293;124;13
325;02/15/2018;NZD;236598;24;77
326;03/15/2019;JPY;33019007;118;50
327;04/18/2018;JPY;74460260;24;71
328;02/25/2019;JPY;23521607;14;24
329;05/20/2017;SEK;7377761;45;82
330;02/01/2017;NOK;3590217;83;86
331;10/16/2018;NOK;4398352;118;85
332;05/17/2019;JPY;41357477;137;40
333;04/10/2018;EUR;66729;5;45
334;05/13/2017;EUR;599252;74;15
335;04/16/2018;NOK;3592070;27;85
336;01/28/2017;EUR;441310;139;7
337;09/02/2017;JPY;83106670;124;38
338;04/13/2018;JPY;60909391;54;69
339;11/04/2017;NZD;564174;27;16
340;06/07/2019;JPY;51130341;144;35
341;01/19/2017;CHF;199250;5;20
342;07/13/2017;SEK;4734789;163;29
343;03/25/2019;AUD;67310;116;70
344;04/11/2019;GBP;464139;157;91
345;05/26/2018;CAD;1184599;116;15
346;11/29/2019;AUD;1071020;88;50
347;02/20/2019;EUR;83465;176;77
348;11/16/2018;DKK;2162320;179;22
349;12/01/2017;DKK;2428153;163;16
350;08/01/2017;NOK;2876020;140;98
351;09/09/2019;NOK;603627;20;54
352;11/01/2019;CHF;870356;131;55
353;02/09/2018;CHF;830328;34;5
354;06/16/2017;JPY;105611913;49;68
355;02/02/2018;NZD;1236401;85;86
356;08/16/2018;CAD;575957;154;84
357;02/22/2018;CAD;680763;191;51
358;09/24/2018;NZD;1052456;158;91
359;03/27/2019;NOK;7147894;41;56
360;07/16/2018;GBP;280521;63;14
361;12/30/2018;NZD;658740;98;70
362;05/10/2017;CHF;75972;54;3
363;11/04/2018;DKK;3387545;4;54
364;08/20/2018;AUD;677025;37;18
365;08/24/2018;CHF;692090;58;89
366;08/11/2017;AUD;11245;169;66
367;10/22/2018;AUD;1080541;197;88
368;05/10/2017;AUD;568367;121;67
369;02/09/2019;AUD;482562;16;74
370;10/02/2019;AUD;841517;113;42
371;09/08/2019;CHF;213914;62;95
372;07/03/2018;GBP;531886;136;64
373;07/18/2017;NOK;671379;15;31
374;08/31/2017;NOK;1735831;29;50
375;03/25/2017;NOK;4646044;54;20
376;09/15/2018;EUR;819834;99;74
377;05/17/2019;DKK;5150608;180;41
378;01/06/2019;SEK;7039353;43;34
379;11/26/2019;CAD;516722;15;54
380;07/23/2017;EUR;239984;125;99
381;11/27/2019;SEK;6833891;31;77
382;05/19/2019;NOK;5144963;99;63
383;07/21/2019;CHF;400284;20;52
384;12/02/2017;CAD;818915;71;71
385;06/18/2017;CAD;418302;156;30
386;02/02/2018;CHF;947461;79;68
387;07/21/2019;EUR;512420;186;23
388;01/29/2019;NOK;3086567;96;28
389;02/04/2017;SEK;6858772;55;23
390;12/18/2017;SEK;4517463;158;0
391;08/29/2018;GBP;300016;145;70
392;09/10/2017;CHF;458503;73;40
393;07/29/2017;CAD;973097;104;11
394;05/10/2018;EUR;187029;166;36
395;06/12/2018;CAD;657021;51;10
396;08/14/2019;DKK;5954898;69;19
397;08/20/2019;NZD;685605;93;46
398;01/23/2018;CHF;308911;149;16
399;10/17/2018;AUD;560398;67;7
400;05/19/2018;NOK;5857413;149;2
401;04/20/2018;CHF;406198;186;21
402;04/10/2018;JPY;43843417;82;42
403;04/20/2018;CHF;882761;98;76
404;08/25/2017;EUR;149835;60;56
405;12/04/2019;DKK;5925846;46;26
406;03/31/2017;EUR;755561;36;72
407;06/03/2018;SEK;7867154;68;14
408;09/17/2019;NZD;1430268;98;22
409;01/01/2019;CHF;797207;170;20
410;03/20/2018;GBP;296630;85;51
411;03/21/2019;CAD;269243;161;8
412;11/05/2018;JPY;50064013;102;85
413;09/15/2017;SEK;626393;55;49
414;10/19/2018;DKK;1922468;109;8
415;02/06/2018;NZD;1158368;148;26
416;05/13/2019;DKK;2858761;26;83
417;01/18/2019;JPY;20938878;117;60
418;07/15/2019;EUR;290803;112;96
419;10/04/2017;CAD;713425;123;1
420;03/02/2017;NZD;1258298;127;1
421;08/13/2019;GBP;9453;124;87
422;09/30/2018;GBP;205637;46;12
423;01/23/2019;EUR;115456;139;77
424;02/23/2018;DKK;5612424;24;86
425;01/28/2018;CHF;624317;103;84
426;03/01/2018;EUR;45904;7;21
427;05/12/2018;NZD;1149693;92;38
428;06/02/2017;AUD;603112;105;87
429;03/11/2017;CHF;757196;140;10
430;05/09/2017;DKK;3872935;10;63
431;03/07/2019;CAD;258733;27;62
432;03/29/2017;CAD;668468;21;4
433;01/10/2019;EUR;171995;105;67
434;02/03/2018;NZD;382602;15;10
435;11/24/2017;AUD;183308;106;79
436;05/21/2019;NZD;989159;17;36
437;11/27/2018;SEK;7580797;81;56
438;03/23/2019;JPY;71464389;65;2
439;08/26/2019;CAD;170179;33;75
440;10/02/2019;JPY;69777087;90;79
441;04/03/2019;NZD;21041;169;75
442;12/27/2018;NOK;1548875;108;88
443;04/08/2017;EUR;426832;134;14
444;05/03/2017;GBP;297585;84;15
445;08/06/2017;JPY;64884059;101;87
446;03/11/2019;NOK;6768079;86;33
447;04/29/2018;AUD;929668;75;28
448;04/17/2019;JPY;104603115;139;62
449;01/25/2018;NOK;3292087;44;76
450;11/29/2017;EUR;821170;1;64
451;11/11/2019;CHF;259610;144;12
452;02/06/2018;CAD;335166;5;51
453;09/19/2019;AUD;1172750;146;66
454;07/24/2017;JPY;14524814;68;90
455;10/04/2017;CHF;849433;113;7
456;01/30/2019;JPY;22825116;146;1
457;04/25/2017;CHF;430887;17;61
458;03/01/2018;NOK;7825332;50;81
459;04/22/2019;AUD;526050;56;58
460;05/17/2019;CAD;1312302;7;36
461;05/11/2018;SEK;3618126;110;62
462;08/15/2018;EUR;438800;0;68
463;12/13/2018;EUR;23788;65;28
464;05/29/2018;NZD;586990;4;25
465;01/10/2017;DKK;1663760;130;74
466;02/23/2017;SEK;7199055;74;31
467;06/04/2017;EUR;404683;169;76
468;05/08/2017;JPY;42577839;177;53
469;09/16/2018;SEK;6117825;166;14
470;08/07/2019;SEK;4445727;189;10
471;10/22/2019;NZD;911841;148;51
472;05/26/2018;DKK;4964235;133;57
473;10/13/2018;CHF;801122;3;6
474;10/23/2017;NZD;798632;190;24
475;09/09/2019;JPY;17163233;188;29
476;05/12/2018;CAD;211365;9;61
477;11/22/2019;AUD;1118812;93;93
478;12/12/2017;EUR;197952;13;7
479;10/12/2017;AUD;496271;40;97
480;07/15/2018;NZD;916731;64;93
481;09/20/2018;SEK;408104;159;34
482;10/05/2017;JPY;28348731;22;27
483;02/20/2019;EUR;649864;104;83
484;08/15/2018;SEK;1694624;166;54
485;04/13/2017;JPY;80609134;27;84
486;01/14/2017;NZD;1245431;165;30
487;02/18/2019;CAD;244955;42;8
488;04/08/2019;NZD;681092;132;17
489;10/31/2018;NOK;6656973;6;36
490;09/14/2019;JPY;53063926;16;47
491;10/11/2018;CHF;598074;198;54
492;11/07/2018;NOK;5959648;104;81
493;12/11/2019;CHF;702151;122;41
494;12/19/2018;SEK;3354580;138;92
495;10/27/2018;NZD;1438699;170;73
496;01/25/2019;NZD;1388004;6;70
497;03/25/2017;CHF;819312;138;11
498;07/16/2018;SEK;5061750;101;34
499;09/24/2018;AUD;992208;190;32
500;05/22/2018;CHF;678991;58;73
501;04/04/2017;CHF;408438;134;96
502;04/12/2019;CAD;697985;155;72
503;11/12/2018;SEK;8324783;159;13
504;12/02/2018;DKK;2691472;106;99
505;03/28/2018;GBP;42837;92;65
506;12/30/2018;NOK;1236452;73;35
507;10/01/2017;AUD;388600;80;14
508;02/13/2018;NOK;2624433;155;46
509;02/19/2017;GBP;578045;33;53
510;12/16/2018;CHF;935403;68;64
511;11/16/2019;GBP;143501;74;25
512;08/03/2017;CHF;226043;159;68
513;06/30/2017;SEK;5013751;26;62
514;09/28/2019;NZD;1384859;99;43
515;05/09/2017;AUD;1210957;5;94
516;06/12/2018;NOK;5488638;21;63
517;12/06/2017;EUR;536829;18;70
518;06/20/2017;NOK;1345416;166;12
519;09/29/2017;AUD;187483;21;70
520;07/24/2017;CHF;605924;88;26
521;04/24/2019;NZD;58200;21;16
522;11/03/2017;JPY;5736018;61;33
523;12/25/2017;AUD;375350;52;53
524;04/29/2019;AUD;464728;133;49
525;07/20/2019;JPY;44383610;93;60
526;04/24/2018;EUR;136603;159;55
527;10/05/2018;CHF;637838;176;91
528;01/28/2019;CAD;1031423;143;37
529;12/13/2017;SEK;3059923;29;98
530;09/21/2019;CHF;126734;38;78
531;12/07/2018;SEK;2697603;100;8
532;10/09/2017;GBP;751244;47;85
533;09/23/2017;CHF;870226;75;56
534;06/26/2019;SEK;2375840;77;33
535;06/18/2018;CAD;319272;39;15
536;01/03/2019;CHF;523087;89;36
537;09/30/2018;SEK;3578693;73;62
538;08/01/2019;CAD;228522;40;48
539;04/29/2018;CHF;286603;27;70
540;05/05/2017;GBP;425280;142;94
541;02/16/2017;NOK;419983;19;55
542;04/19/2019;GBP;93457;77;60
543;09/08/2018;AUD;407112;164;52
544;12/01/2017;EUR;402158;192;90
545;06/23/2018;GBP;122399;26;17
546;11/15/2018;AUD;179329;105;85
547;11/26/2019;NOK;5277887;173;91
548;03/15/2017;SEK;5051122;104;63
549;02/05/2017;JPY;104853089;4;74
550;10/23/2019;AUD;1358875;51;10
551;12/06/2017;CHF;846445;118;78
552;05/27/2017;EUR;558732;9;97
553;06/23/2018;EUR;691206;13;51
554;05/13/2019;EUR;149779;116;46
555;06/23/2018;EUR;418107;63;81
556;01/06/2019;AUD;80220;68;18
557;06/17/2019;SEK;5335065;131;94
558;01/27/2018;NZD;295797;23;28
559;08/07/2018;SEK;279374;174;48
560;05/21/2018;DKK;6486958;149;41
561;11/08/2017;JPY;93442434;76;60
562;02/14/2017;GBP;47109;89;11
563;03/19/2019;EUR;457558;55;77
564;07/11/2019;CHF;662433;66;33
565;03/14/2019;CHF;837401;124;14
566;09/13/2019;CHF;473167;90;49
567;03/17/2017;EUR;158583;149;62
568;12/16/2018;NZD;828730;83;61
569;04/11/2019;CAD;419662;78;5
570;05/06/2017;CHF;770462;50;88
571;05/23/2019;NZD;1508041;156;37
572;10/11/2017;NZD;1231292;137;49
573;03/30/2017;CHF;621263;124;63
574;03/06/2019;DKK;483475;162;63
575;12/23/2019;JPY;83965919;125;37
576;08/30/2019;DKK;4766042;106;74
577;11/30/2018;DKK;5049504;49;1
578;01/21/2017;NOK;7677561;88;43
579;04/13/2019;DKK;677552;61;5
580;06/30/2018;DKK;5849312;133;15
581;01/25/2018;EUR;215294;198;66
582;10/01/2017;AUD;978994;155;13
583;07/14/2018;NOK;3784240;49;79
584;06/22/2019;GBP;556644;152;39
585;06/09/2017;NZD;264770;59;39
586;10/10/2018;NOK;997725;178;88
587;12/03/2018;JPY;50572213;23;58
588;05/18/2018;DKK;5450972;171;24
589;05/19/2019;JPY;99552712;64;61
590;02/11/2019;CAD;218800;11;15
591;06/23/2017;GBP;293749;87;66
592;08/14/2019;NZD;1367496;93;40
593;03/27/2017;GBP;288245;137;58
594;11/27/2018;JPY;54149723;59;89
595;10/01/2017;GBP;459817;131;7
596;03/02/2019;NZD;474108;37;88
597;08/06/2018;NZD;536628;42;57
598;03/24/2017;JPY;58413202;99;11
599;08/27/2017;NZD;1124586;4;73
600;08/22/2018;NOK;5256502;186;59
601;09/26/2018;DKK;6442478;149;66
602;06/07/2019;DKK;2257023;55;86
603;11/17/2018;GBP;664267;157;62
604;09/07/2017;DKK;4614693;60;50
605;01/07/2018;DKK;5912183;53;13
606;04/14/2018;AUD;682627;66;72
607;09/18/2018;JPY;45722639;116;55
608;06/16/2019;NZD;1480932;137;99
609;09/01/2019;SEK;2421692;151;78
610;02/02/2019;CHF;722359;135;30
611;04/30/2017;CHF;688111;107;24
612;11/24/2019;CHF;961504;122;51
613;12/27/2017;AUD;632774;69;49
614;05/18/2019;CHF;374414;130;38
615;05/22/2018;SEK;2147998;160;25
616;09/12/2018;JPY;105719915;108;68
617;05/01/2018;DKK;899252;60;16
618;01/09/2018;EUR;648741;162;34
619;01/18/2018;GBP;167160;131;87
620;06/09/2019;DKK;1029759;181;76
621;08/07/2017;SEK;4323627;145;40
622;06/27/2018;JPY;33728092;152;55
623;08/19/2019;DKK;3584028;140;51
624;10/22/2018;SEK;4705943;45;10
625;10/27/2017;SEK;7669447;13;67
626;08/10/2018;GBP;194474;153;96
627;07/10/2018;CAD;770118;12;60
628;07/14/2018;CAD;338502;94;1
629;10/14/2017;SEK;3774927;103;69
630;02/19/2017;JPY;6583468;56;17
631;10/16/2019;AUD;1131522;130;84
632;09/26/2017;CAD;227216;23;66
633;09/22/2017;SEK;7170993;162;67
634;03/05/2019;GBP;470164;47;55
635;09/08/2019;NZD;475417;99;99
636;08/01/2019;CAD;584147;55;1
637;12/18/2017;SEK;1466296;145;82
638;11/11/2019;CAD;275864;135;86
639;03/26/2018;SEK;8530419;10;86
640;04/16/2018;SEK;368243;124;2
641;05/25/2019;CHF;727579;6;2
642;07/02/2019;JPY;70818831;20;77
643;03/23/2018;NOK;3758465;13;89
644;06/12/2018;GBP;693161;25;73
645;02/13/2017;EUR;452561;14;46
646;03/30/2019;EUR;666818;53;95
647;06/02/2018;NOK;6779052;163;14
648;10/17/2018;CAD;831158;54;58
649;09/23/2018;GBP;181403;90;24
650;12/05/2017;EUR;504350;2;28
651;06/07/2017;SEK;4931312;85;52
652;02/03/2019;JPY;47025839;192;1
653;02/27/2018;NZD;221905;64;65
654;06/19/2019;AUD;916224;42;25
655;01/18/2018;CHF;966985;148;57
656;12/05/2017;NOK;3793973;59;56
657;10/16/2017;DKK;4733515;149;16
658;09/15/2017;NOK;1929519;41;26
659;08/23/2019;NOK;6345296;83;81
660;09/27/2019;NOK;870947;105;47
661;12/01/2019;SEK;6305967;68;83
662;11/25/2018;SEK;7913893;118;11
663;07/02/2017;CAD;511564;108;66
664;01/19/2017;CHF;87523;125;63
665;05/08/2017;CAD;1158512;49;85
666;05/14/2018;CAD;1028153;73;74
667;06/14/2019;DKK;3558121;28;4
668;08/24/2019;SEK;1540220;27;56
669;04/30/2017;EUR;867945;75;72
670;10/30/2017;SEK;5527766;79;74
671;09/01/2017;GBP;716338;15;47
672;09/02/2018;DKK;1369431;151;73
673;12/14/2018;NOK;3510466;35;39
674;08/06/2019;AUD;113069;139;92
675;04/17/2018;GBP;406881;16;21
676;04/08/2017;EUR;176768;57;17
677;05/28/2019;CAD;1191654;4;80
678;12/16/2019;GBP;585443;66;44
679;11/18/2019;DKK;5207087;124;50
