Henrik Lundqvist
Carl Soderberg
Oliver Ekman-Larsson
Alex Goligoski
Ilya Lyubushkin
Jakob Chychrun
Kyle Capobianco
Aaron Ness
Kyle Palmieri
Taylor Hall
Jack Hughes
Jesper Boqvist
Travis Zajac
Blake Coleman
Jesper Bratt
Pavel Zacha
Nico Hischier
Kevin Rooney
Miles Wood
Wayne Simmonds
Damon Severson
P.K. Subban
Andy Greene
Sami Vatanen
Mirco Mueller
Matt Tennyson
Elias Lindholm
Sean Monahan
Johnny Gaudreau
Andrew Mangiapane
Matthew Tkachuk
Mikael Backlund
Alan Quine
Sam Bennett
Derek Ryan
Milan Lucic
Tobias Rieder
Mark Jankowski
Mark Giordano
T.J. Brodie
Travis Hamonic
Noah Hanifin
Oliver Kylington
Rasmus Andersson
Jason Zucker
Eric Staal
Mats Zuccarello
Kevin Fiala
Zach Parise
Mikko Koivu
Ryan Hartman
Ryan Donato
Luke Kunin
Marcus Foligno
Joel Eriksson Ek
Jordan Greenway
Jared Spurgeon
Ryan Suter
Jonas Brodin
Mathew Dumba
Nick Seeler
Brad Hunt
Kevin Labanc
Evander Kane
Logan Couture
Barclay Goodrow
Tomas Hertl
Timo Meier
Marcus Sorensen
Patrick Marleau
Joe Thornton
Noah Gregor
Melker Karlsson
Dylan Gambrell
Marc-Edouard Vlasic
Brent Burns
Brenden Dillon
Erik Karlsson
Mario Ferraro
Tim Heed
