Entry ID,Contest Name,Contest ID,Entry Fee,F,F,F,F,F,F,,Instructions,,,,,,,,
1642499918,MMA $25K Sprawl [20 Entry Max],77463055,$4,Callan Potter (13492868),Nadia Kassem (13492856),Al Iaquinta (13492864),Khalid Taha (13492873),Tai Tuivasa (13492857),Megan Anderson (13492871),,F,Maki Pitolo (13492867),Maki Pitolo,13492867,F,9000,Pitolo@Potter 10/05/2019 08:00PM ET,Pitolo,0
1642499919,MMA $25K Sprawl [20 Entry Max],77463055,$4,Zarah Fairn dos Santos (13492872),Nadia Kassem (13492856),Jamie Mullarkey (13492870),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,F,Khalid Taha (13492873),Khalid Taha,13492873,F,8900,Silva@Taha 10/05/2019 06:45PM ET,Taha,64.25
1642499920,MMA $25K Sprawl [20 Entry Max],77463055,$4,Bruno Silva (13492874),Yorgan De Castro (13492860),Israel Adesanya (13492853),Dhiego Lima (13492861),Maki Pitolo (13492867),Megan Anderson (13492871),,F,Ji Yeon Kim (13492855),Ji Yeon Kim,13492855,F,8700,Kassem@Kim 10/05/2019 06:45PM ET,Kim,44.25
1642499921,MMA $25K Sprawl [20 Entry Max],77463055,$4,Rostem Akman (13492866),Israel Adesanya (13492853),Justin Tafa (13492859),Dhiego Lima (13492861),Khalid Taha (13492873),Tai Tuivasa (13492857),,F,Brad Riddell (13492869),Brad Riddell,13492869,F,8600,Mullarkey@Riddell 10/05/2019 08:00PM ET,Riddell,0
1642499922,MMA $25K Sprawl [20 Entry Max],77463055,$4,Nadia Kassem (13492856),Robert Whittaker (13492854),Justin Tafa (13492859),Dhiego Lima (13492861),Dan Hooker (13492863),Jake Matthews (13492865),,F,Dan Hooker (13492863),Dan Hooker,13492863,F,8500,Hooker@Iaquinta 10/05/2019 08:00PM ET,Hooker,79
1642499923,MMA $25K Sprawl [20 Entry Max],77463055,$4,Nadia Kassem (13492856),Israel Adesanya (13492853),Justin Tafa (13492859),Dhiego Lima (13492861),Dan Hooker (13492863),Tai Tuivasa (13492857),,F,Dhiego Lima (13492861),Dhiego Lima,13492861,F,8400,Jumeau@Lima 10/05/2019 08:00PM ET,Lima,39.19
1642499758,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Callan Potter (13492868),Robert Whittaker (13492854),Ji Yeon Kim (13492855),Tai Tuivasa (13492857),Megan Anderson (13492871),,F,Justin Tafa (13492859),Justin Tafa,13492859,F,8300,De Castro@Tafa 10/05/2019 08:00PM ET,Tafa,0
1642499759,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Nadia Kassem (13492856),Justin Tafa (13492859),Dhiego Lima (13492861),Tai Tuivasa (13492857),Megan Anderson (13492871),,F,Robert Whittaker (13492854),Robert Whittaker,13492854,F,8200,Adesanya@Whittaker 10/05/2019 08:00PM ET,Whittaker,81.69
1642499760,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Jamie Mullarkey (13492870),Robert Whittaker (13492854),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,F,Israel Adesanya (13492853),Israel Adesanya,13492853,F,8000,Adesanya@Whittaker 10/05/2019 08:00PM ET,Adesanya,95.58
1642499761,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Jamie Mullarkey (13492870),Dhiego Lima (13492861),Ji Yeon Kim (13492855),Maki Pitolo (13492867),Megan Anderson (13492871),,F,Yorgan De Castro (13492860),Yorgan De Castro,13492860,F,7900,De Castro@Tafa 10/05/2019 08:00PM ET,De Castro,0
1642499762,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Bruno Silva (13492874),Nadia Kassem (13492856),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,F,Luke Jumeau (13492862),Luke Jumeau,13492862,F,7800,Jumeau@Lima 10/05/2019 08:00PM ET,Jumeau,47
1642499763,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Callan Potter (13492868),Nadia Kassem (13492856),Khalid Taha (13492873),Tai Tuivasa (13492857),Megan Anderson (13492871),,F,Al Iaquinta (13492864),Al Iaquinta,13492864,F,7700,Hooker@Iaquinta 10/05/2019 08:00PM ET,Iaquinta,70.5
1642499764,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Bruno Silva (13492874),Dhiego Lima (13492861),Dan Hooker (13492863),Tai Tuivasa (13492857),Megan Anderson (13492871),,F,Jamie Mullarkey (13492870),Jamie Mullarkey,13492870,F,7600,Mullarkey@Riddell 10/05/2019 08:00PM ET,Mullarkey,0
1642499765,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Yorgan De Castro (13492860),Dhiego Lima (13492861),Dan Hooker (13492863),Khalid Taha (13492873),Megan Anderson (13492871),,F,Nadia Kassem (13492856),Nadia Kassem,13492856,F,7500,Kassem@Kim 10/05/2019 06:45PM ET,Kassem,35.75
1642499766,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Callan Potter (13492868),Nadia Kassem (13492856),Khalid Taha (13492873),Jake Matthews (13492865),Tai Tuivasa (13492857),,F,Bruno Silva (13492874),Bruno Silva,13492874,F,7300,Silva@Taha 10/05/2019 06:45PM ET,Silva,0
1642499767,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Luke Jumeau (13492862),Israel Adesanya (13492853),Justin Tafa (13492859),Dan Hooker (13492863),Brad Riddell (13492869),Ji Yeon Kim (13492855),,F,Callan Potter (13492868),Callan Potter,13492868,F,7200,Pitolo@Potter 10/05/2019 08:00PM ET,Potter,1.5
1642499768,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Jamie Mullarkey (13492870),Al Iaquinta (13492864),Ji Yeon Kim (13492855),Tai Tuivasa (13492857),Megan Anderson (13492871),,F,Rostem Akman (13492866),Rostem Akman,13492866,F,7100,Akman@Matthews 10/05/2019 08:00PM ET,Akman,32.5
1642499769,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Al Iaquinta (13492864),Luke Jumeau (13492862),Robert Whittaker (13492854),Justin Tafa (13492859),Brad Riddell (13492869),Megan Anderson (13492871),,F,Serghei Spivac (13492858),Serghei Spivac,13492858,F,6900,Spivac@Tuivasa 10/05/2019 08:00PM ET,Spivac,0.5
1642499770,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Nadia Kassem (13492856),Al Iaquinta (13492864),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,F,Zarah Fairn (13492872),Zarah Fairn,13492872,F,6800,Anderson@Fairn 10/05/2019 08:00PM ET,Fairn,0
1642499771,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Al Iaquinta (13492864),Israel Adesanya (13492853),Justin Tafa (13492859),Dhiego Lima (13492861),Brad Riddell (13492869),Maki Pitolo (13492867),,,,,,,,,,
1642499772,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Nadia Kassem (13492856),Jamie Mullarkey (13492870),Israel Adesanya (13492853),Dhiego Lima (13492861),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499773,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Serghei Spivac (13492858),Callan Potter (13492868),Ji Yeon Kim (13492855),Khalid Taha (13492873),Jake Matthews (13492865),,,,,,,,,,
1642499774,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Bruno Silva (13492874),Al Iaquinta (13492864),Jake Matthews (13492865),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499775,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Nadia Kassem (13492856),Luke Jumeau (13492862),Israel Adesanya (13492853),Justin Tafa (13492859),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499776,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Al Iaquinta (13492864),Justin Tafa (13492859),Khalid Taha (13492873),Maki Pitolo (13492867),Tai Tuivasa (13492857),,,,,,,,,,
1642499777,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Israel Adesanya (13492853),Justin Tafa (13492859),Dhiego Lima (13492861),Dan Hooker (13492863),Megan Anderson (13492871),,,,,,,,,,
1642499778,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Jamie Mullarkey (13492870),Al Iaquinta (13492864),Israel Adesanya (13492853),Dhiego Lima (13492861),Khalid Taha (13492873),Megan Anderson (13492871),,,,,,,,,,
1642499779,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Callan Potter (13492868),Jamie Mullarkey (13492870),Khalid Taha (13492873),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499780,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Bruno Silva (13492874),Jamie Mullarkey (13492870),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499781,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Rostem Akman (13492866),Robert Whittaker (13492854),Khalid Taha (13492873),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499782,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Israel Adesanya (13492853),Justin Tafa (13492859),Dhiego Lima (13492861),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499783,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Luke Jumeau (13492862),Yorgan De Castro (13492860),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499784,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Al Iaquinta (13492864),Israel Adesanya (13492853),Justin Tafa (13492859),Dhiego Lima (13492861),Ji Yeon Kim (13492855),Khalid Taha (13492873),,,,,,,,,,
1642499785,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Callan Potter (13492868),Jamie Mullarkey (13492870),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499786,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Bruno Silva (13492874),Al Iaquinta (13492864),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499787,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Israel Adesanya (13492853),Justin Tafa (13492859),Dhiego Lima (13492861),Ji Yeon Kim (13492855),Megan Anderson (13492871),,,,,,,,,,
1642499788,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Luke Jumeau (13492862),Robert Whittaker (13492854),Dan Hooker (13492863),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499789,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Nadia Kassem (13492856),Jamie Mullarkey (13492870),Luke Jumeau (13492862),Justin Tafa (13492859),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499790,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Jamie Mullarkey (13492870),Robert Whittaker (13492854),Dhiego Lima (13492861),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499791,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Al Iaquinta (13492864),Israel Adesanya (13492853),Dhiego Lima (13492861),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499792,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Nadia Kassem (13492856),Dhiego Lima (13492861),Khalid Taha (13492873),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499793,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Serghei Spivac (13492858),Robert Whittaker (13492854),Khalid Taha (13492873),Maki Pitolo (13492867),Jake Matthews (13492865),,,,,,,,,,
1642499794,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Al Iaquinta (13492864),Yorgan De Castro (13492860),Israel Adesanya (13492853),Dhiego Lima (13492861),Brad Riddell (13492869),Megan Anderson (13492871),,,,,,,,,,
1642499795,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Nadia Kassem (13492856),Al Iaquinta (13492864),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499796,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Al Iaquinta (13492864),Dhiego Lima (13492861),Brad Riddell (13492869),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499797,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Callan Potter (13492868),Robert Whittaker (13492854),Khalid Taha (13492873),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499798,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Nadia Kassem (13492856),Al Iaquinta (13492864),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499799,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Bruno Silva (13492874),Yorgan De Castro (13492860),Maki Pitolo (13492867),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499800,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Callan Potter (13492868),Robert Whittaker (13492854),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499801,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Callan Potter (13492868),Al Iaquinta (13492864),Khalid Taha (13492873),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499802,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Nadia Kassem (13492856),Robert Whittaker (13492854),Dan Hooker (13492863),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499803,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Jamie Mullarkey (13492870),Luke Jumeau (13492862),Israel Adesanya (13492853),Justin Tafa (13492859),Khalid Taha (13492873),Megan Anderson (13492871),,,,,,,,,,
1642499804,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Bruno Silva (13492874),Luke Jumeau (13492862),Maki Pitolo (13492867),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499805,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Nadia Kassem (13492856),Luke Jumeau (13492862),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499806,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Al Iaquinta (13492864),Luke Jumeau (13492862),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499807,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Nadia Kassem (13492856),Jamie Mullarkey (13492870),Yorgan De Castro (13492860),Dan Hooker (13492863),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499808,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Al Iaquinta (13492864),Israel Adesanya (13492853),Justin Tafa (13492859),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499809,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Nadia Kassem (13492856),Jamie Mullarkey (13492870),Khalid Taha (13492873),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499810,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Rostem Akman (13492866),Yorgan De Castro (13492860),Khalid Taha (13492873),Maki Pitolo (13492867),Tai Tuivasa (13492857),,,,,,,,,,
1642499811,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Callan Potter (13492868),Bruno Silva (13492874),Ji Yeon Kim (13492855),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499812,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Jamie Mullarkey (13492870),Yorgan De Castro (13492860),Dan Hooker (13492863),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499813,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Jamie Mullarkey (13492870),Al Iaquinta (13492864),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499814,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Callan Potter (13492868),Al Iaquinta (13492864),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499815,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Bruno Silva (13492874),Robert Whittaker (13492854),Dan Hooker (13492863),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499816,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Bruno Silva (13492874),Luke Jumeau (13492862),Ji Yeon Kim (13492855),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499817,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Yorgan De Castro (13492860),Robert Whittaker (13492854),Dan Hooker (13492863),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499818,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Callan Potter (13492868),Luke Jumeau (13492862),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499819,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Rostem Akman (13492866),Al Iaquinta (13492864),Khalid Taha (13492873),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499820,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Robert Whittaker (13492854),Justin Tafa (13492859),Dhiego Lima (13492861),Dan Hooker (13492863),Megan Anderson (13492871),,,,,,,,,,
1642499821,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Callan Potter (13492868),Jamie Mullarkey (13492870),Khalid Taha (13492873),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499822,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Serghei Spivac (13492858),Nadia Kassem (13492856),Khalid Taha (13492873),Maki Pitolo (13492867),Jake Matthews (13492865),,,,,,,,,,
1642499823,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Nadia Kassem (13492856),Robert Whittaker (13492854),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499824,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Jamie Mullarkey (13492870),Dhiego Lima (13492861),Dan Hooker (13492863),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499825,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Al Iaquinta (13492864),Luke Jumeau (13492862),Yorgan De Castro (13492860),Israel Adesanya (13492853),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499826,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Nadia Kassem (13492856),Justin Tafa (13492859),Khalid Taha (13492873),Maki Pitolo (13492867),Megan Anderson (13492871),,,,,,,,,,
1642499827,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Nadia Kassem (13492856),Luke Jumeau (13492862),Dan Hooker (13492863),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499828,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Nadia Kassem (13492856),Yorgan De Castro (13492860),Dan Hooker (13492863),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499829,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Rostem Akman (13492866),Bruno Silva (13492874),Nadia Kassem (13492856),Maki Pitolo (13492867),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499830,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Al Iaquinta (13492864),Yorgan De Castro (13492860),Dhiego Lima (13492861),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499831,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Rostem Akman (13492866),Al Iaquinta (13492864),Khalid Taha (13492873),Maki Pitolo (13492867),Tai Tuivasa (13492857),,,,,,,,,,
1642499832,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Bruno Silva (13492874),Justin Tafa (13492859),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499833,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Robert Whittaker (13492854),Dhiego Lima (13492861),Dan Hooker (13492863),Brad Riddell (13492869),Megan Anderson (13492871),,,,,,,,,,
1642499834,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Bruno Silva (13492874),Luke Jumeau (13492862),Yorgan De Castro (13492860),Dan Hooker (13492863),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499835,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Callan Potter (13492868),Yorgan De Castro (13492860),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499836,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Serghei Spivac (13492858),Yorgan De Castro (13492860),Khalid Taha (13492873),Maki Pitolo (13492867),Jake Matthews (13492865),,,,,,,,,,
1642499837,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Luke Jumeau (13492862),Yorgan De Castro (13492860),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499838,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Serghei Spivac (13492858),Al Iaquinta (13492864),Yorgan De Castro (13492860),Maki Pitolo (13492867),Jake Matthews (13492865),Megan Anderson (13492871),,,,,,,,,,
1642499839,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Nadia Kassem (13492856),Luke Jumeau (13492862),Yorgan De Castro (13492860),Israel Adesanya (13492853),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
1642499840,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Callan Potter (13492868),Ji Yeon Kim (13492855),Khalid Taha (13492873),Jake Matthews (13492865),Tai Tuivasa (13492857),,,,,,,,,,
1642499841,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Luke Jumeau (13492862),Yorgan De Castro (13492860),Israel Adesanya (13492853),Dan Hooker (13492863),Ji Yeon Kim (13492855),Jake Matthews (13492865),,,,,,,,,,
1642499842,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Al Iaquinta (13492864),Yorgan De Castro (13492860),Israel Adesanya (13492853),Dhiego Lima (13492861),Brad Riddell (13492869),Megan Anderson (13492871),,,,,,,,,,
1642499843,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Zarah Fairn dos Santos (13492872),Rostem Akman (13492866),Ji Yeon Kim (13492855),Khalid Taha (13492873),Maki Pitolo (13492867),Tai Tuivasa (13492857),,,,,,,,,,
1642499844,MMA $20K mini-MAX [150 Entry Max],77463057,$1,Callan Potter (13492868),Luke Jumeau (13492862),Israel Adesanya (13492853),Justin Tafa (13492859),Tai Tuivasa (13492857),Megan Anderson (13492871),,,,,,,,,,
