entry_id,contest_id,contest_name,P,P,P,P,P,P,,Instructions,,,,,,,,,,,,,,
1971548125,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105030:Elise Mertens,43025-110093:Angelique Kerber,43025-105012:Anett Kontaveit,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-105916:Simona Halep,43025-105916,F,Simona,Simona Halep,Halep,131.759997558594,5,17,,,,,,
1971548127,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105500:Kiki Bertens,43025-110093:Angelique Kerber,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-105870:Anastasia Pavlyuchenkova,43025-105870,F,Anastasia,Anastasia Pavlyuchenkova,Pavlyuchenkova,112.200002034505,6,16,,,,,,
1971548128,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-110093:Angelique Kerber,43025-109626:Andrey Rublev,43025-105012:Anett Kontaveit,43025-109389:Daniil Medvedev,43025-105121:Rafael Nadal,,43025-105012:Anett Kontaveit,43025-105012,F,Anett,Anett Kontaveit,Kontaveit,131.133331298828,6,16,,,,,,
1971548129,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-110093:Angelique Kerber,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,43025-109626:Andrey Rublev,43025-109626,M,Andrey,Andrey Rublev,Rublev,148.772727272727,11,16,,,,,,
1971548131,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-110093:Angelique Kerber,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-110093:Angelique Kerber,43025-110093,F,Angelique,Angelique Kerber,Kerber,110.90000406901,6,15,,,,,,
1971548133,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105786:Alexander Zverev,43025-105749:Iga Swiatek,43025-105870:Anastasia Pavlyuchenkova,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-109389:Daniil Medvedev,,43025-105749:Iga Swiatek,43025-105749,F,Iga,Iga Swiatek,Swiatek,156.40000406901,3,15,,,,,,
1971548135,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105030:Elise Mertens,43025-105749:Iga Swiatek,43025-109626:Andrey Rublev,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-105786:Alexander Zverev,43025-105786,M,Alexander,Alexander Zverev,Zverev,152.866668701172,3,15,,,,,,
1971548136,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105500:Kiki Bertens,43025-105749:Iga Swiatek,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-105030:Elise Mertens,43025-105030,F,Elise,Elise Mertens,Mertens,149.811116536458,9,14,,,,,,
1971548137,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-105749:Iga Swiatek,43025-109626:Andrey Rublev,43025-105870:Anastasia Pavlyuchenkova,43025-109389:Daniil Medvedev,43025-105121:Rafael Nadal,,43025-105500:Kiki Bertens,43025-105500,F,Kiki,Kiki Bertens,Bertens,125.84999593099,6,14,,,,,,
1971548139,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105749:Iga Swiatek,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,43025-105863:Gael Monfils,43025-105863,M,Gael,Gael Monfils,Monfils,139.266662597656,3,12,,,,,,
1971548141,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105749:Iga Swiatek,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-105372:Stan Wawrinka,43025-105372,M,Stan,Stan Wawrinka,Wawrinka,133.666666666667,6,11,,,,,,
1971548151,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105030:Elise Mertens,43025-105786:Alexander Zverev,43025-105012:Anett Kontaveit,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,43025-108193:Nick Kyrgios,43025-108193,M,Nick,Nick Kyrgios,Kyrgios,147.733337402344,3,10,,,,,,
1971548152,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105500:Kiki Bertens,43025-105786:Alexander Zverev,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548153,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-105786:Alexander Zverev,43025-105012:Anett Kontaveit,43025-105870:Anastasia Pavlyuchenkova,43025-109389:Daniil Medvedev,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548154,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105786:Alexander Zverev,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548155,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105786:Alexander Zverev,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548158,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105500:Kiki Bertens,43025-105030:Elise Mertens,43025-109626:Andrey Rublev,43025-105012:Anett Kontaveit,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548159,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105500:Kiki Bertens,43025-105030:Elise Mertens,43025-105012:Anett Kontaveit,43025-105870:Anastasia Pavlyuchenkova,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548160,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-105030:Elise Mertens,43025-109626:Andrey Rublev,43025-104992:Garbine Muguruza,43025-109389:Daniil Medvedev,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548161,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-105030:Elise Mertens,43025-105012:Anett Kontaveit,43025-104992:Garbine Muguruza,43025-109389:Daniil Medvedev,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548163,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105030:Elise Mertens,43025-109626:Andrey Rublev,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548166,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105030:Elise Mertens,43025-105012:Anett Kontaveit,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548168,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105030:Elise Mertens,43025-109626:Andrey Rublev,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548170,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105030:Elise Mertens,43025-105012:Anett Kontaveit,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548171,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-105500:Kiki Bertens,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-109389:Daniil Medvedev,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548172,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105863:Gael Monfils,43025-105500:Kiki Bertens,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-109389:Daniil Medvedev,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548173,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105500:Kiki Bertens,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548175,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105500:Kiki Bertens,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-105744:Dominic Thiem,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548176,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105500:Kiki Bertens,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548178,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105500:Kiki Bertens,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-105744:Dominic Thiem,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548180,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105863:Gael Monfils,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548184,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-105372:Stan Wawrinka,43025-105863:Gael Monfils,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105121:Rafael Nadal,,,,,,,,,,,,,,,,
1971548186,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105863:Gael Monfils,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548187,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105863:Gael Monfils,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-109389:Daniil Medvedev,,,,,,,,,,,,,,,,
1971548188,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105372:Stan Wawrinka,43025-109626:Andrey Rublev,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,,,,,,,,,,,,,,,,
1971548191,43025-234211504,$10K Sun TEN Smash ($2K to 1st),43025-108193:Nick Kyrgios,43025-105372:Stan Wawrinka,43025-105012:Anett Kontaveit,43025-105916:Simona Halep,43025-104992:Garbine Muguruza,43025-105744:Dominic Thiem,,,,,,,,,,,,,,,,
