Donna Vekic (14174709),Belinda Bencic (14174707),Gael Monfils (14174706),Angelique Kerber (14174705),Elina Svitolina (14174704),Andrey Rublev (14174703),50000,0.056891,0
Anastasia Pavlyuchenkova (14174721),Gael Monfils (14174706),Elina Svitolina (14174704),Elise Mertens (14174702),Kiki Bertens (14174701),Simona Halep (14174697),50000,0.0409918,0
Yulia Putintseva (14174722),Gael Monfils (14174706),Elina Svitolina (14174704),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0497452,0
Taylor Fritz (14174723),Gael Monfils (14174706),Andrey Rublev (14174703),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0489342,0
Alexei Popyrin (14174724),Elise Mertens (14174702),Kiki Bertens (14174701),Alexander Zverev (14174700),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0258171,0
Pablo Carreno-Busta (14174725),Gael Monfils (14174706),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.012493,0
John Isner (14174711),Iga Swiatek (14174710),Gael Monfils (14174706),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),50000,0.0498008,0
Anett Kontaveit (14174712),Iga Swiatek (14174710),Gael Monfils (14174706),Elise Mertens (14174702),Alexander Zverev (14174700),Karolina Pliskova (14174698),50000,0.0482159,0
Ernests Gulbis (14174713),Iga Swiatek (14174710),Elina Svitolina (14174704),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),50000,0.0428097,0
Camila Giorgi (14174714),Iga Swiatek (14174710),Gael Monfils (14174706),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),49900,0.0468325,0
Garbine Muguruza (14174715),Iga Swiatek (14174710),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0446088,0
David Goffin (14174716),Iga Swiatek (14174710),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Simona Halep (14174697),49900,0.0438625,0
Catherine Bellis (14174717),Iga Swiatek (14174710),Gael Monfils (14174706),Alexander Zverev (14174700),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0395746,0
Fernando Verdasco (14174718),Iga Swiatek (14174710),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Dominic Thiem (14174696),49900,0.0407589,0
Zarina Diyas (14174719),Iga Swiatek (14174710),Elina Svitolina (14174704),Elise Mertens (14174702),Karolina Pliskova (14174698),Dominic Thiem (14174696),50000,0.0410494,0
Karen Khachanov (14174720),Iga Swiatek (14174710),Elise Mertens (14174702),Kiki Bertens (14174701),Alexander Zverev (14174700),Karolina Pliskova (14174698),49800,0.0404983,0
Anastasia Pavlyuchenkova (14174721),Iga Swiatek (14174710),Gael Monfils (14174706),Elina Svitolina (14174704),Elise Mertens (14174702),Daniil Medvedev (14174695),50000,0.0348789,0
Yulia Putintseva (14174722),Iga Swiatek (14174710),Belinda Bencic (14174707),Gael Monfils (14174706),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0399443,0
Taylor Fritz (14174723),Iga Swiatek (14174710),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0391789,0
Alexei Popyrin (14174724),Iga Swiatek (14174710),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0215032,0
Pablo Carreno-Busta (14174725),Iga Swiatek (14174710),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Dominic Thiem (14174696),Daniil Medvedev (14174695),50000,0.00948387,0
Anett Kontaveit (14174712),John Isner (14174711),Gael Monfils (14174706),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0507077,0
Ernests Gulbis (14174713),John Isner (14174711),Andrey Rublev (14174703),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),50000,0.0449958,0
Camila Giorgi (14174714),John Isner (14174711),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0501192,0
Garbine Muguruza (14174715),John Isner (14174711),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Simona Halep (14174697),49900,0.0464884,0
David Goffin (14174716),John Isner (14174711),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Dominic Thiem (14174696),50000,0.0463006,0
Catherine Bellis (14174717),John Isner (14174711),Gael Monfils (14174706),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0416199,0
Fernando Verdasco (14174718),John Isner (14174711),Elise Mertens (14174702),Kiki Bertens (14174701),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0435539,0
Zarina Diyas (14174719),John Isner (14174711),Elise Mertens (14174702),Alexander Zverev (14174700),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0440114,0
Karen Khachanov (14174720),John Isner (14174711),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0437375,0
Anastasia Pavlyuchenkova (14174721),John Isner (14174711),Gael Monfils (14174706),Andrey Rublev (14174703),Elise Mertens (14174702),Daniil Medvedev (14174695),50000,0.03666,0
Yulia Putintseva (14174722),John Isner (14174711),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),Dominic Thiem (14174696),50000,0.0418065,0
Taylor Fritz (14174723),John Isner (14174711),Gael Monfils (14174706),Angelique Kerber (14174705),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0416198,0
Alexei Popyrin (14174724),John Isner (14174711),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Rafael Nadal (14174694),49900,0.0224092,0
Pablo Carreno-Busta (14174725),John Isner (14174711),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Dominic Thiem (14174696),Daniil Medvedev (14174695),49900,0.00988347,0
Ernests Gulbis (14174713),Anett Kontaveit (14174712),Elise Mertens (14174702),Kiki Bertens (14174701),Alexander Zverev (14174700),Karolina Pliskova (14174698),50000,0.0435638,0
Camila Giorgi (14174714),Anett Kontaveit (14174712),Elise Mertens (14174702),Kiki Bertens (14174701),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0474981,0
Garbine Muguruza (14174715),Anett Kontaveit (14174712),Elise Mertens (14174702),Alexander Zverev (14174700),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0442795,0
David Goffin (14174716),Anett Kontaveit (14174712),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0444859,0
Catherine Bellis (14174717),Anett Kontaveit (14174712),Gael Monfils (14174706),Elina Svitolina (14174704),Kiki Bertens (14174701),Daniil Medvedev (14174695),50000,0.0399128,0
Fernando Verdasco (14174718),Anett Kontaveit (14174712),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0413932,0
Zarina Diyas (14174719),Anett Kontaveit (14174712),Gael Monfils (14174706),Angelique Kerber (14174705),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0424233,0
Karen Khachanov (14174720),Anett Kontaveit (14174712),Gael Monfils (14174706),Elina Svitolina (14174704),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0432843,0
Anastasia Pavlyuchenkova (14174721),Anett Kontaveit (14174712),Gael Monfils (14174706),Elise Mertens (14174702),Alexander Zverev (14174700),Daniil Medvedev (14174695),50000,0.0354933,0
Yulia Putintseva (14174722),Anett Kontaveit (14174712),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.0411962,0
Taylor Fritz (14174723),Anett Kontaveit (14174712),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0429243,0
Alexei Popyrin (14174724),Anett Kontaveit (14174712),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0220687,0
Pablo Carreno-Busta (14174725),Anett Kontaveit (14174712),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49700,0.00926113,0
Camila Giorgi (14174714),Ernests Gulbis (14174713),Elise Mertens (14174702),Alexander Zverev (14174700),Nick Kyrgios (14174699),Karolina Pliskova (14174698),50000,0.0425274,0
Garbine Muguruza (14174715),Ernests Gulbis (14174713),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0403048,0
David Goffin (14174716),Ernests Gulbis (14174713),Elise Mertens (14174702),Alexander Zverev (14174700),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0398304,0
Catherine Bellis (14174717),Ernests Gulbis (14174713),Kiki Bertens (14174701),Alexander Zverev (14174700),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0357562,0
Fernando Verdasco (14174718),Ernests Gulbis (14174713),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),49900,0.0368752,0
Zarina Diyas (14174719),Ernests Gulbis (14174713),Donna Vekic (14174709),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0382517,0
Karen Khachanov (14174720),Ernests Gulbis (14174713),Donna Vekic (14174709),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.0372043,0
Anastasia Pavlyuchenkova (14174721),Ernests Gulbis (14174713),Elina Svitolina (14174704),Elise Mertens (14174702),Kiki Bertens (14174701),Daniil Medvedev (14174695),50000,0.0315136,0
Yulia Putintseva (14174722),Ernests Gulbis (14174713),Elina Svitolina (14174704),Andrey Rublev (14174703),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0367617,0
Taylor Fritz (14174723),Ernests Gulbis (14174713),Angelique Kerber (14174705),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0365138,0
Alexei Popyrin (14174724),Ernests Gulbis (14174713),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),Rafael Nadal (14174694),49900,0.01966,0
Pablo Carreno-Busta (14174725),Ernests Gulbis (14174713),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49600,0.00825031,0
Garbine Muguruza (14174715),Camila Giorgi (14174714),Belinda Bencic (14174707),Gael Monfils (14174706),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0439188,0
David Goffin (14174716),Camila Giorgi (14174714),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),50000,0.0434276,0
Catherine Bellis (14174717),Camila Giorgi (14174714),Belinda Bencic (14174707),Elina Svitolina (14174704),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0392949,0
Fernando Verdasco (14174718),Camila Giorgi (14174714),Gael Monfils (14174706),Elina Svitolina (14174704),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0426024,0
Zarina Diyas (14174719),Camila Giorgi (14174714),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0432008,0
Karen Khachanov (14174720),Camila Giorgi (14174714),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.0420178,0
Anastasia Pavlyuchenkova (14174721),Camila Giorgi (14174714),Gael Monfils (14174706),Elina Svitolina (14174704),Elise Mertens (14174702),Rafael Nadal (14174694),50000,0.0348466,0
Yulia Putintseva (14174722),Camila Giorgi (14174714),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.0423589,0
Taylor Fritz (14174723),Camila Giorgi (14174714),Elina Svitolina (14174704),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0413839,0
Alexei Popyrin (14174724),Camila Giorgi (14174714),Gael Monfils (14174706),Karolina Pliskova (14174698),Simona Halep (14174697),Rafael Nadal (14174694),50000,0.0216406,0
Pablo Carreno-Busta (14174725),Camila Giorgi (14174714),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49500,0.00891375,0
David Goffin (14174716),Garbine Muguruza (14174715),Gael Monfils (14174706),Angelique Kerber (14174705),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0410611,0
Catherine Bellis (14174717),Garbine Muguruza (14174715),Gael Monfils (14174706),Angelique Kerber (14174705),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.0373003,0
Fernando Verdasco (14174718),Garbine Muguruza (14174715),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0398548,0
Zarina Diyas (14174719),Garbine Muguruza (14174715),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.0400712,0
Karen Khachanov (14174720),Garbine Muguruza (14174715),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0416356,0
Anastasia Pavlyuchenkova (14174721),Garbine Muguruza (14174715),Gael Monfils (14174706),Elise Mertens (14174702),Simona Halep (14174697),Daniil Medvedev (14174695),50000,0.032838,0
Yulia Putintseva (14174722),Garbine Muguruza (14174715),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49800,0.0392903,0
Taylor Fritz (14174723),Garbine Muguruza (14174715),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0387149,0
Alexei Popyrin (14174724),Garbine Muguruza (14174715),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0207998,0
Pablo Carreno-Busta (14174725),Garbine Muguruza (14174715),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49400,0.00826801,0
Catherine Bellis (14174717),David Goffin (14174716),Gael Monfils (14174706),Elina Svitolina (14174704),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.0384742,0
Fernando Verdasco (14174718),David Goffin (14174716),Belinda Bencic (14174707),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0389964,0
Zarina Diyas (14174719),David Goffin (14174716),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0420916,0
Karen Khachanov (14174720),David Goffin (14174716),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),49900,0.040939,0
Anastasia Pavlyuchenkova (14174721),David Goffin (14174716),Gael Monfils (14174706),Elise Mertens (14174702),Simona Halep (14174697),Daniil Medvedev (14174695),49900,0.0322887,0
Yulia Putintseva (14174722),David Goffin (14174716),Gael Monfils (14174706),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0387222,0
Taylor Fritz (14174723),David Goffin (14174716),Gael Monfils (14174706),Elina Svitolina (14174704),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0381744,0
Alexei Popyrin (14174724),David Goffin (14174716),Elise Mertens (14174702),Alexander Zverev (14174700),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.020555,0
Pablo Carreno-Busta (14174725),David Goffin (14174716),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49300,0.00812969,0
Fernando Verdasco (14174718),Catherine Bellis (14174717),Elina Svitolina (14174704),Andrey Rublev (14174703),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0356588,0
Zarina Diyas (14174719),Catherine Bellis (14174717),Belinda Bencic (14174707),Gael Monfils (14174706),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0360234,0
Karen Khachanov (14174720),Catherine Bellis (14174717),Gael Monfils (14174706),Alexander Zverev (14174700),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0369369,0
Anastasia Pavlyuchenkova (14174721),Catherine Bellis (14174717),Gael Monfils (14174706),Alexander Zverev (14174700),Simona Halep (14174697),Daniil Medvedev (14174695),50000,0.0291322,0
Yulia Putintseva (14174722),Catherine Bellis (14174717),Gael Monfils (14174706),Elina Svitolina (14174704),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0355548,0
Taylor Fritz (14174723),Catherine Bellis (14174717),Gael Monfils (14174706),Karolina Pliskova (14174698),Simona Halep (14174697),Daniil Medvedev (14174695),50000,0.0352314,0
Alexei Popyrin (14174724),Catherine Bellis (14174717),Kiki Bertens (14174701),Alexander Zverev (14174700),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0184525,0
Pablo Carreno-Busta (14174725),Catherine Bellis (14174717),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49200,0.00738509,0
Zarina Diyas (14174719),Fernando Verdasco (14174718),Elina Svitolina (14174704),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0386801,0
Karen Khachanov (14174720),Fernando Verdasco (14174718),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0379432,0
Anastasia Pavlyuchenkova (14174721),Fernando Verdasco (14174718),Gael Monfils (14174706),Elise Mertens (14174702),Kiki Bertens (14174701),Rafael Nadal (14174694),50000,0.0310445,0
Yulia Putintseva (14174722),Fernando Verdasco (14174718),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0362144,0
Taylor Fritz (14174723),Fernando Verdasco (14174718),Elise Mertens (14174702),Kiki Bertens (14174701),Karolina Pliskova (14174698),Daniil Medvedev (14174695),50000,0.0368685,0
Alexei Popyrin (14174724),Fernando Verdasco (14174718),Elise Mertens (14174702),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Rafael Nadal (14174694),49900,0.01903,0
Pablo Carreno-Busta (14174725),Fernando Verdasco (14174718),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49100,0.00745819,0
Karen Khachanov (14174720),Zarina Diyas (14174719),Gael Monfils (14174706),Elina Svitolina (14174704),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0382567,0
Anastasia Pavlyuchenkova (14174721),Zarina Diyas (14174719),Gael Monfils (14174706),Elise Mertens (14174702),Alexander Zverev (14174700),Rafael Nadal (14174694),50000,0.0313706,0
Yulia Putintseva (14174722),Zarina Diyas (14174719),Gael Monfils (14174706),Andrey Rublev (14174703),Karolina Pliskova (14174698),Rafael Nadal (14174694),49900,0.0364111,0
Taylor Fritz (14174723),Zarina Diyas (14174719),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0379384,0
Alexei Popyrin (14174724),Zarina Diyas (14174719),Elise Mertens (14174702),Karolina Pliskova (14174698),Simona Halep (14174697),Rafael Nadal (14174694),50000,0.0196482,0
Pablo Carreno-Busta (14174725),Zarina Diyas (14174719),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),49000,0.00749869,0
Anastasia Pavlyuchenkova (14174721),Karen Khachanov (14174720),Gael Monfils (14174706),Elise Mertens (14174702),Alexander Zverev (14174700),Rafael Nadal (14174694),49900,0.0305116,0
Yulia Putintseva (14174722),Karen Khachanov (14174720),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0378326,0
Taylor Fritz (14174723),Karen Khachanov (14174720),Gael Monfils (14174706),Elise Mertens (14174702),Karolina Pliskova (14174698),Rafael Nadal (14174694),49900,0.0368995,0
Alexei Popyrin (14174724),Karen Khachanov (14174720),Elise Mertens (14174702),Karolina Pliskova (14174698),Simona Halep (14174697),Rafael Nadal (14174694),49900,0.0191102,0
Pablo Carreno-Busta (14174725),Karen Khachanov (14174720),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),48900,0.00729335,0
Yulia Putintseva (14174722),Anastasia Pavlyuchenkova (14174721),Elina Svitolina (14174704),Elise Mertens (14174702),Nick Kyrgios (14174699),Rafael Nadal (14174694),50000,0.0291056,0
Taylor Fritz (14174723),Anastasia Pavlyuchenkova (14174721),Gael Monfils (14174706),Elise Mertens (14174702),Simona Halep (14174697),Rafael Nadal (14174694),49900,0.0291027,0
Alexei Popyrin (14174724),Anastasia Pavlyuchenkova (14174721),Elise Mertens (14174702),Nick Kyrgios (14174699),Dominic Thiem (14174696),Rafael Nadal (14174694),49900,0.0148667,0
Pablo Carreno-Busta (14174725),Anastasia Pavlyuchenkova (14174721),Nick Kyrgios (14174699),Simona Halep (14174697),Dominic Thiem (14174696),Daniil Medvedev (14174695),48700,0.00560153,0
Taylor Fritz (14174723),Yulia Putintseva (14174722),Andrey Rublev (14174703),Elise Mertens (14174702),Karolina Pliskova (14174698),Rafael Nadal (14174694),50000,0.0351786,0
Alexei Popyrin (14174724),Yulia Putintseva (14174722),Elise Mertens (14174702),Karolina Pliskova (14174698),Dominic Thiem (14174696),Rafael Nadal (14174694),49900,0.0182665,0
Pablo Carreno-Busta (14174725),Yulia Putintseva (14174722),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Dominic Thiem (14174696),Daniil Medvedev (14174695),48500,0.00670215,0
Alexei Popyrin (14174724),Taylor Fritz (14174723),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),Rafael Nadal (14174694),49900,0.0176296,0
Pablo Carreno-Busta (14174725),Taylor Fritz (14174723),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),Daniil Medvedev (14174695),48200,0.00645357,0
Pablo Carreno-Busta (14174725),Alexei Popyrin (14174724),Nick Kyrgios (14174699),Karolina Pliskova (14174698),Simona Halep (14174697),Dominic Thiem (14174696),46100,0.0024452,0
