Sergei Bobrovsky
Ryan Hartman
Luke Kunin
Joel Eriksson Ek
Marcus Foligno
Jordan Greenway
Jared Spurgeon
Ryan Suter
Jonas Brodin
Mathew Dumba
Nick Seeler
Brad Hunt
Alex Iafallo
Dustin Brown
Anze Kopitar
Michael Amadio
Tyler Toffoli
Jeff Carter
Carl Grundstrom
Blake Lizotte
Austin Wagner
Kyle Clifford
Nikolai Prokhorkin
Ilya Kovalchuk
Drew Doughty
Alec Martinez
Ben Hutton
Sean Walker
Kurtis MacDermid
Matt Roy
Leon Draisaitl
Connor McDavid
Zack Kassian
James Neal
Ryan Nugent-Hopkins
Alex Chiasson
Jujhar Khaira
Josh Archibald
Riley Sheahan
Markus Granlund
Patrick Russell
Gaetan Haas
Darnell Nurse
Ethan Bear
Joel Persson
Oscar Klefbom
Matt Benning
Kris Russell
Evander Kane
Logan Couture
Kevin Labanc
Barclay Goodrow
Tomas Hertl
Timo Meier
Marcus Sorensen
Patrick Marleau
Joe Thornton
Dylan Gambrell
Melker Karlsson
Noah Gregor
Marc-Edouard Vlasic
Brent Burns
Brenden Dillon
Erik Karlsson
Mario Ferraro
Tim Heed
